Date/Heure;020 TC1 [°C];020 [hPa];020 [hPa];154 [°C];154 [%HR];154 [hPa];154 [ppm];154 Point de rosée [°C];154 Température humide [°C];154 Humidité absolue [g/m³];905 [°C];905 [m/s];905 [hPa];
04/04/2024 13:28:21;24,1;1002,0;0,006;24,1;48,3;1000,8;880;12,5;16,8;10,59;25,1;0,00;1000,8;
04/04/2024 13:29:21;24,2;1002,0;0,006;24,1;48,2;1000,9;885;12,5;16,8;10,56;25,3;0,00;1000,9;
04/04/2024 13:30:21;24,2;1001,9;0,006;24,1;48,0;1000,8;883;12,4;16,8;10,52;25,4;0,00;1000,9;
04/04/2024 13:31:21;24,3;1001,9;0,006;24,2;47,9;1000,7;879;12,5;16,8;10,56;25,5;0,00;1000,9;
04/04/2024 13:32:21;24,3;1002,0;0,006;24,2;47,7;1000,6;877;12,4;16,8;10,51;25,6;0,00;1001,0;
04/04/2024 13:33:21;24,4;1002,0;0,006;24,3;47,5;1000,6;871;12,4;16,8;10,53;25,7;0,00;1001,0;
04/04/2024 13:34:21;24,4;1002,0;0,006;24,4;47,4;1000,7;876;12,5;16,9;10,57;25,7;0,02;1001,1;
04/04/2024 13:35:21;24,4;1002,0;0,006;24,4;47,2;1000,8;869;12,4;16,9;10,52;25,8;0,00;1001,0;
04/04/2024 13:36:21;24,5;1002,0;0,006;24,5;47,1;1000,8;870;12,5;16,9;10,56;25,9;0,00;1000,9;
04/04/2024 13:37:21;24,5;1001,9;0,005;24,5;47,0;1000,8;877;12,5;16,9;10,54;25,9;0,00;1000,9;
04/04/2024 13:38:21;24,5;1002,0;0,006;24,5;47,1;1000,8;879;12,5;16,9;10,56;25,9;0,00;1000,9;
04/04/2024 13:39:21;24,6;1002,0;0,006;24,5;47,1;1000,8;887;12,5;16,9;10,56;26,0;0,00;1000,9;
04/04/2024 13:40:21;24,5;1002,0;0,005;24,5;47,0;1000,7;884;12,5;16,9;10,54;26,0;0,00;1000,9;
04/04/2024 13:41:21;24,6;1002,0;0,006;24,6;47,0;1000,7;888;12,5;17,0;10,60;25,9;0,00;1001,0;
04/04/2024 13:42:21;24,6;1002,0;0,005;24,6;47,2;1000,7;892;12,6;17,0;10,64;25,9;0,00;1001,0;
04/04/2024 13:43:21;24,6;1001,9;0,006;24,6;47,0;1000,7;900;12,5;17,0;10,60;25,9;0,00;1000,9;
04/04/2024 13:44:21;24,6;1001,9;0,006;24,7;46,9;1000,7;905;12,6;17,1;10,63;26,0;0,00;1000,9;
04/04/2024 13:45:21;24,7;1001,9;0,006;24,7;46,7;1000,7;899;12,5;17,0;10,59;26,0;0,00;1000,9;
