time,tempICP,hum,tempSI7021,windSpeed,pres,RVPin,TMPPin,noise,noiseCalib,lum,meanRadTempPin,meanRadTempCalib,trNat,trFor
Fri Nov 10 21:03:16 2023,21.62636,48.24881,21.40453,0.00712558,99489.6,2327,3024,29,53.30872,0.0,20.25,19.05,17.31482,19.0112
Fri Nov 10 21:04:16 2023,21.61568,48.26407,21.3938,0.00596464,99488.72,2322,2957,20,56.42435,0.0,20.1875,18.96,17.14908,18.92389
Fri Nov 10 21:05:17 2023,21.61568,48.28696,21.3938,0.003730086,99492.42,2310,3009,27,54.10399,0.0,20.1875,18.96,17.14908,18.93277
Fri Nov 10 21:06:18 2023,21.59164,48.3251,21.38307,0.01257541,99491.98,2347,3031,19,56.71048,0.0,20.1875,18.96,17.15915,18.90375
Fri Nov 10 21:07:19 2023,21.57028,48.31748,21.37234,0.009788597,99495.48,2338,3027,28,53.71545,0.0,20.1875,18.96,17.16919,18.91183
Fri Nov 10 21:08:20 2023,21.56227,48.34036,21.3509,0.0140319,99502.03,2352,3026,23,55.50464,0.0,20.125,18.87,17.013,18.80844
Fri Nov 10 21:09:21 2023,21.55426,48.34799,21.34017,0.008795644,99500.1,2335,3023,26,54.47589,0.0,20.125,18.87,17.02313,18.8237
Fri Nov 10 21:10:22 2023,21.53824,48.37851,21.32945,0.006778975,99499.41,2327,3030,26,54.47589,0.0,20.125,18.87,17.03323,18.83057
Fri Nov 10 21:11:22 2023,21.52222,48.41666,21.29727,0.006193464,99499.51,2325,3024,40,46.79952,0.0,20.125,18.87,17.06351,18.83313
Fri Nov 10 21:12:23 2023,21.50085,48.44718,21.308,0.007377728,99503.92,2330,3024,21,56.12846,0.0,20.125,18.87,17.05344,18.82889
Fri Nov 10 21:13:24 2023,21.49818,48.47006,21.28654,0.008257614,99510.53,2334,3033,27,54.10399,0.0,20.125,18.87,17.07358,18.82639
Fri Nov 10 21:14:25 2023,21.49017,48.47769,21.28654,0.01133324,99511.81,2345,3027,29,53.30872,0.0,20.0625,18.78,16.89697,18.72525
