#t(s)	T TESTO (°C)	T DS18B20 (°C)
0	40.2	34.5625
1	40.2	34.5625
2	40.2	34.5625
3	40.2	34.5625
4	40.2	34.5625
5	40.2	34.5625
6	40.2	34.5625
7	40.2	34.5625
8	40.2	34.5625
9	40.2	34.5625
10	40.2	34.625
11	40.2	34.5625
12	40.2	34.625
13	40.2	34.625
14	40.2	34.5625
15	40.2	34.625
16	40.2	34.625
17	40.2	34.625
18	40.2	34.625
19	40.2	34.5625
20	40.2	34.625
21	40.2	34.625
22	40.2	34.5625
23	40.2	34.625
24	40.2	34.625
25	40.2	34.5625
26	40.2	34.5625
27	40.2	34.5625
28	40.2	34.5625
29	40.2	34.5625
30	40.2	34.5625
31	40.2	34.5625
32	40.2	34.625
33	40.2	34.625
34	40.2	34.5625
35	40.2	34.625
36	40.2	34.625
37	40.2	34.625
38	40.2	34.5625
39	40.2	34.625
40	40.2	34.625
41	40.2	34.5625
42	40.2	34.625
43	40.2	34.625
44	40.2	34.625
45	40.2	34.625
46	40.2	34.625
47	40.2	34.625
48	40.2	34.625
49	40.2	34.625
50	40.2	34.625
51	40.3	34.6875
52	40.3	34.625
53	40.3	34.6875
54	40.3	34.625
55	40.3	34.6875
56	40.3	34.625
57	40.3	34.625
58	40.3	34.625
59	40.3	34.625
60	40.3	34.625
61	40.3	34.625
62	40.3	34.625
63	40.3	34.625
64	40.3	34.625
65	40.3	34.625
66	40.3	34.625
67	40.3	34.625
68	40.3	34.625
69	40.3	34.625
70	40.3	34.625
71	40.3	34.625
72	40.3	34.6875
73	40.3	34.625
74	40.3	34.625
75	40.3	34.6875
76	40.3	34.6875
77	40.3	34.6875
78	40.3	34.6875
79	40.3	34.6875
80	40.3	34.6875
81	40.3	34.6875
82	40.3	34.6875
83	40.3	34.6875
84	40.3	34.6875
85	40.3	34.6875
86	40.3	34.6875
87	40.3	34.6875
88	40.4	34.6875
89	40.4	34.6875
90	40.4	34.6875
91	40.4	34.6875
92	40.4	34.6875
93	40.4	34.6875
94	40.4	34.75
95	40.4	34.75
96	40.4	34.6875
97	40.4	34.6875
98	40.4	34.6875
99	40.4	34.6875
100	40.4	34.6875
101	40.4	34.6875
102	40.4	34.6875
103	40.4	34.6875
104	40.4	34.6875
105	40.4	34.6875
106	40.5	34.6875
107	40.5	34.6875
108	40.5	34.6875
109	40.5	34.75
110	40.5	34.6875
111	40.5	34.6875
112	40.5	34.75
113	40.5	34.6875
114	40.5	34.6875
115	40.5	34.6875
116	40.5	34.6875
117	40.5	34.6875
118	40.5	34.6875
119	40.5	34.75
120	40.5	34.6875
121	40.5	34.75
122	40.5	34.6875
123	40.5	34.75
124	40.5	34.75
125	40.5	34.75
126	40.5	34.75
127	40.5	34.75
128	40.5	34.75
129	40.5	34.75
130	40.6	34.75
131	40.6	34.75
132	40.6	34.75
133	40.6	34.75
134	40.6	34.75
135	40.6	34.75
136	40.6	34.75
137	40.6	34.75
138	40.6	34.75
139	40.6	34.75
140	40.6	34.75
141	40.6	34.8125
142	40.6	34.75
143	40.6	34.75
144	40.6	34.75
145	40.6	34.75
146	40.6	34.8125
147	40.6	34.75
148	40.6	34.8125
149	40.6	34.75
150	40.6	34.8125
151	40.6	34.8125
152	40.6	34.8125
153	40.6	34.8125
154	40.7	34.8125
155	40.7	34.8125
156	40.7	34.8125
157	40.7	34.8125
158	40.7	34.8125
159	40.7	34.8125
160	40.7	34.8125
161	40.7	34.8125
162	40.7	34.8125
163	40.7	34.8125
164	40.7	34.8125
165	40.7	34.8125
166	40.7	34.8125
167	40.7	34.8125
168	40.7	34.8125
169	40.7	34.8125
170	40.7	34.8125
171	40.7	34.8125
172	40.7	34.8125
173	40.7	34.8125
174	40.7	34.8125
175	40.7	34.8125
176	40.7	34.8125
177	40.7	34.8125
178	40.7	34.8125
179	40.7	34.8125
180	40.8	34.8125
181	40.8	34.8125
182	40.8	34.875
183	40.8	34.8125
184	40.8	34.875
185	40.8	34.8125
186	40.8	34.875
187	40.8	34.875
188	40.8	34.875
189	40.8	34.875
190	40.8	34.875
191	40.8	34.875
192	40.8	34.875
193	40.8	34.875
194	40.9	34.875
195	40.9	34.875
196	40.8	34.875
197	40.8	34.875
198	40.9	34.875
199	40.9	34.875
200	40.9	34.875
201	40.9	34.875
202	40.9	34.875
203	40.9	34.875
204	40.9	34.9375
205	40.9	34.875
206	40.9	34.875
207	40.9	34.875
208	40.9	34.875
209	40.9	34.875
210	40.9	34.9375
211	40.9	34.875
212	40.9	34.875
213	40.9	34.9375
214	40.9	34.875
215	40.9	34.875
216	40.9	34.9375
217	40.9	34.9375
218	40.9	34.9375
219	40.9	34.9375
220	40.9	34.9375
221	40.9	34.9375
222	40.9	34.9375
223	40.9	34.9375
224	41	34.9375
225	41	34.9375
226	41	34.9375
227	41	34.9375
228	41	34.9375
229	41	34.9375
230	41	34.9375
231	41	34.9375
232	41	34.9375
233	41	34.9375
234	41	34.9375
235	41	34.9375
236	41	34.9375
237	41	34.9375
238	41	34.9375
239	41	34.9375
240	41	34.9375
241	41	34.9375
242	41	34.9375
243	41	34.9375
244	41	34.9375
245	41	34.9375
246	41	34.9375
247	41	34.9375
248	41	34.9375
249	41	34.9375
250	41	35
251	41	35
252	41	35
253	41	35
254	41	35
255	41	34.9375
256	41.1	35
257	41.1	35
258	41.1	35
259	41.1	35
260	41.1	35
261	41.1	35
262	41.1	35
263	41.1	35
264	41.1	35
265	41.1	35
266	41.1	35
267	41.1	35
268	41.1	35
269	41.1	35
270	41.1	35
271	41.1	35
272	41.2	35
273	41.2	35
274	41.2	35
275	41.2	35
276	41.2	35
277	41.2	35
278	41.2	35.0625
279	41.2	35.0625
280	41.2	35
281	41.2	35.0625
282	41.2	35.0625
283	41.2	35
284	41.2	35.0625
285	41.2	35.0625
286	41.2	35.0625
287	41.2	35
288	41.2	35.0625
289	41.2	35.0625
290	41.2	35
291	41.2	35.0625
292	41.2	35.0625
293	41.2	35.0625
294	41.2	35.0625
295	41.2	35.0625
296	41.2	35.0625
297	41.2	35
298	41.2	35.0625
299	41.2	35.0625
300	41.2	35.0625
301	41.2	35.0625
302	41.2	35.0625
303	41.2	35.0625
304	41.2	35.0625
305	41.2	35.0625
306	41.2	35.0625
307	41.2	35.0625
308	41.2	35.0625
309	41.2	35.0625
310	41.2	35.0625
311	41.2	35.0625
312	41.3	35.0625
313	41.3	35.0625
314	41.3	35.0625
315	41.3	35.0625
316	41.3	35.0625
317	41.3	35.0625
318	41.3	35.0625
319	41.3	35.0625
320	41.3	35.0625
321	41.3	35.125
322	41.3	35.0625
323	41.3	35.0625
324	41.3	35.0625
325	41.3	35.125
326	41.3	35.125
327	41.3	35.0625
328	41.3	35.125
329	41.3	35.125
330	41.3	35.125
331	41.3	35.125
332	41.3	35.125
333	41.3	35.0625
334	41.3	35.125
335	41.3	35.125
336	41.3	35.125
337	41.3	35.125
338	41.3	35.125
339	41.3	35.125
340	41.3	35.125
341	41.3	35.125
342	41.3	35.125
343	41.3	35.125
344	41.3	35.125
345	41.3	35.125
346	41.3	35.125
347	41.3	35.125
348	41.3	35.125
349	41.4	35.125
350	41.4	35.125
351	41.4	35.125
352	41.4	35.125
353	41.4	35.125
354	41.4	35.125
355	41.4	35.125
356	41.4	35.125
357	41.4	35.125
358	41.4	35.125
359	41.4	35.125
360	41.4	35.1875
361	41.4	35.125
362	41.4	35.125
363	41.4	35.1875
364	41.4	35.1875
365	41.4	35.125
366	41.4	35.1875
367	41.4	35.1875
368	41.4	35.1875
369	41.4	35.1875
370	41.4	35.1875
371	41.4	35.1875
372	41.4	35.1875
373	41.4	35.1875
374	41.4	35.1875
375	41.4	35.1875
376	41.4	35.1875
377	41.4	35.1875
378	41.4	35.1875
379	41.4	35.1875
380	41.4	35.1875
381	41.4	35.1875
382	41.4	35.1875
383	41.4	35.1875
384	41.4	35.1875
385	41.4	35.1875
386	41.4	35.1875
387	41.4	35.1875
388	41.4	35.1875
389	41.4	35.1875
390	41.4	35.1875
391	41.4	35.1875
392	41.4	35.1875
393	41.5	35.1875
394	41.5	35.1875
395	41.5	35.1875
396	41.5	35.1875
397	41.5	35.1875
398	41.5	35.1875
399	41.5	35.1875
400	41.5	35.1875
401	41.5	35.25
402	41.5	35.25
403	41.5	35.1875
404	41.5	35.25
405	41.5	35.1875
406	41.5	35.25
407	41.5	35.25
408	41.5	35.1875
409	41.5	35.1875
410	41.5	35.25
411	41.5	35.25
412	41.5	35.25
413	41.5	35.25
414	41.5	35.25
415	41.5	35.25
416	41.5	35.25
417	41.6	35.25
418	41.6	35.25
419	41.6	35.25
420	41.6	35.25
421	41.6	35.25
422	41.6	35.25
423	41.6	35.25
424	41.6	35.25
425	41.6	35.25
426	41.6	35.25
427	41.6	35.25
428	41.6	35.25
429	41.6	35.25
430	41.6	35.25
431	41.6	35.25
432	41.6	35.25
433	41.6	35.25
434	41.6	35.3125
435	41.6	35.25
436	41.6	35.25
437	41.6	35.25
438	41.6	35.25
439	41.6	35.25
440	41.6	35.25
441	41.6	35.25
442	41.6	35.25
443	41.6	35.25
444	41.6	35.25
445	41.6	35.3125
446	41.6	35.25
447	41.6	35.25
448	41.6	35.25
449	41.6	35.25
450	41.6	35.25
451	41.6	35.3125
452	41.6	35.3125
453	41.6	35.25
454	41.6	35.25
455	41.6	35.3125
456	41.6	35.25
457	41.6	35.25
458	41.6	35.3125
459	41.6	35.25
460	41.6	35.3125
461	41.6	35.3125
462	41.6	35.3125
463	41.6	35.3125
464	41.6	35.3125
465	41.6	35.3125
466	41.6	35.3125
467	41.7	35.3125
468	41.7	35.3125
469	41.7	35.3125
470	41.7	35.3125
471	41.7	35.3125
472	41.7	35.3125
473	41.7	35.3125
474	41.7	35.3125
475	41.7	35.3125
476	41.7	35.3125
477	41.7	35.3125
478	41.7	35.3125
479	41.7	35.3125
480	41.7	35.3125
481	41.7	35.3125
482	41.7	35.3125
483	41.7	35.3125
484	41.7	35.3125
485	41.7	35.3125
486	41.7	35.3125
487	41.7	35.3125
488	41.7	35.375
489	41.7	35.3125
490	41.7	35.375
491	41.7	35.3125
492	41.7	35.3125
493	41.7	35.3125
494	41.7	35.375
495	41.7	35.375
496	41.7	35.375
497	41.7	35.375
498	41.7	35.375
499	41.7	35.3125
500	41.7	35.375
501	41.7	35.3125
502	41.7	35.375
503	41.7	35.375
504	41.7	35.375
505	41.7	35.375
506	41.7	35.375
507	41.7	35.375
508	41.7	35.375
509	41.7	35.375
510	41.7	35.375
511	41.7	35.375
512	41.7	35.375
513	41.7	35.375
514	41.7	35.375
515	41.7	35.375
516	41.7	35.375
517	41.7	35.375
518	41.7	35.375
519	41.7	35.375
520	41.7	35.375
521	41.7	35.375
522	41.7	35.375
523	41.7	35.375
524	41.7	35.375
525	41.7	35.375
526	41.7	35.375
527	41.7	35.375
528	41.7	35.375
529	41.8	35.375
530	41.8	35.375
531	41.8	35.375
532	41.8	35.375
533	41.8	35.375
534	41.8	35.375
535	41.8	35.375
536	41.8	35.375
537	41.8	35.375
538	41.8	35.4375
539	41.8	35.4375
540	41.8	35.375
541	41.8	35.375
542	41.8	35.4375
543	41.8	35.4375
544	41.8	35.4375
545	41.8	35.375
546	41.8	35.4375
547	41.8	35.375
548	41.8	35.375
549	41.8	35.4375
550	41.8	35.4375
551	41.8	35.4375
552	41.8	35.4375
553	41.8	35.4375
554	41.8	35.375
555	41.8	35.4375
556	41.8	35.4375
557	41.8	35.4375
558	41.8	35.4375
559	41.8	35.4375
560	41.8	35.4375
561	41.8	35.4375
562	41.8	35.4375
563	41.8	35.4375
564	41.8	35.4375
565	41.8	35.4375
566	41.8	35.4375
567	41.8	35.4375
568	41.8	35.4375
569	41.8	35.4375
570	41.8	35.4375
571	41.8	35.4375
572	41.8	35.4375
573	41.8	35.4375
574	41.8	35.4375
575	41.8	35.4375
576	41.8	35.4375
577	41.8	35.4375
578	41.8	35.4375
579	41.8	35.4375
580	41.8	35.4375
581	41.8	35.4375
582	41.8	35.4375
583	41.8	35.4375
584	41.8	35.4375
585	41.8	35.4375
586	41.8	35.4375
587	41.8	35.4375
588	41.8	35.5
589	41.8	35.5
590	41.8	35.4375
591	41.8	35.4375
592	41.8	35.5
593	41.8	35.4375
594	41.8	35.5
595	41.8	35.5
596	41.8	35.5
597	41.8	35.5
598	41.9	35.5
599	41.9	35.5
600	41.8	35.5
601	41.8	35.5
602	41.9	35.5
603	41.9	35.5
604	41.9	35.5
605	41.9	35.5
606	41.9	35.5
607	41.9	35.5
608	41.9	35.5
609	41.9	35.5
610	41.9	35.5
611	41.9	35.5
612	41.9	35.5
613	41.9	35.5
614	41.9	35.5
615	41.9	35.5
616	41.9	35.5
617	41.9	35.5
618	41.9	35.5
619	41.9	35.5
620	41.9	35.5
621	41.9	35.5
622	41.9	35.5
623	41.9	35.5
624	41.9	35.5
625	41.9	35.5
626	41.9	35.5
627	41.9	35.5
628	42	35.5
629	42	35.5
630	41.9	35.5
631	41.9	35.5
632	41.9	35.5
633	41.9	35.5
634	42	35.5
635	42	35.5
636	42	35.5
637	42	35.5
638	42	35.5
639	42	35.5
640	42	35.5
641	42	35.5
642	42	35.5
643	42	35.5
644	42	35.5
645	42	35.5
646	42	35.5
647	42	35.5625
648	42	35.5625
649	42	35.5
650	42	35.5625
651	42	35.5625
652	42	35.5625
653	42	35.5
654	42	35.5625
655	42	35.5625
656	42	35.5625
657	42	35.5625
658	42	35.5625
659	42	35.5
660	42	35.5
661	42	35.5625
662	42	35.5625
663	42	35.5625
664	42	35.5625
665	42	35.5625
666	42	35.5625
667	42	35.5625
668	42	35.5625
669	42	35.5625
670	42	35.5625
671	42	35.5625
672	42	35.5625
673	42	35.5625
674	42	35.5625
675	42	35.5625
676	42	35.5625
677	42	35.5625
678	42	35.5625
679	42	35.5625
680	42	35.5625
681	42	35.5625
682	42	35.5625
683	42	35.5625
684	42	35.5625
685	42	35.5625
686	42	35.5625
687	42	35.5625
688	42	35.5625
689	42	35.5625
690	42	35.5625
691	42	35.5625
692	42	35.5625
693	42	35.625
694	42	35.625
695	42	35.5625
696	42	35.5625
697	42	35.5625
698	42	35.5625
699	42	35.5625
700	42	35.5625
701	42	35.625
702	42	35.625
703	42	35.5625
704	42	35.5625
705	42	35.625
706	42	35.625
707	42	35.625
708	42.1	35.625
709	42.1	35.625
710	42	35.5625
711	42	35.625
712	42.1	35.625
713	42.1	35.625
714	42	35.625
715	42	35.625
716	42.1	35.625
717	42.1	35.625
718	42.1	35.5625
719	42.1	35.625
720	42.1	35.625
721	42.1	35.5625
722	42.1	35.625
723	42.1	35.625
724	42.1	35.625
725	42.1	35.625
726	42.1	35.625
727	42.1	35.625
728	42.1	35.625
729	42.1	35.6875
730	42.1	35.625
731	42.1	35.625
732	42.1	35.625
733	42.1	35.625
734	42.1	35.625
735	42.1	35.625
736	42.1	35.625
737	42.1	35.625
738	42.1	35.625
739	42.1	35.625
740	42.1	35.6875
741	42.1	35.6875
742	42.1	35.6875
743	42.1	35.6875
744	42.1	35.625
745	42.1	35.625
746	42.1	35.625
747	42.1	35.625
748	42.1	35.625
749	42.1	35.625
750	42.1	35.6875
751	42.1	35.6875
752	42.1	35.6875
753	42.1	35.6875
754	42.1	35.6875
755	42.1	35.625
756	42.1	35.6875
757	42.1	35.6875
758	42.1	35.6875
759	42.1	35.6875
760	42.1	35.6875
761	42.1	35.6875
762	42.1	35.6875
763	42.1	35.6875
764	42.1	35.6875
765	42.1	35.6875
766	42.1	35.6875
767	42.1	35.6875
768	42.1	35.6875
769	42.1	35.6875
770	42.1	35.6875
771	42.1	35.6875
772	42.1	35.6875
773	42.1	35.6875
774	42.1	35.6875
775	42.1	35.6875
776	42.1	35.6875
777	42.1	35.6875
778	42.1	35.6875
779	42.1	35.6875
780	42.1	35.6875
781	42.1	35.6875
782	42.1	35.6875
783	42.1	35.6875
784	42.1	35.6875
785	42.1	35.6875
786	42.1	35.6875
787	42.1	35.6875
788	42.1	35.6875
789	42.1	35.6875
790	42.1	35.6875
791	42.1	35.6875
