#t (s)	T TESTO (°C)	T DS18B20 (°C)
266	29.5	26.4375
267	29.5	26.4375
268	29.5	26.4375
269	29.5	26.5
270	29.5	26.5
271	29.5	26.5
272	29.6	26.5
273	29.6	26.5
274	29.6	26.5
275	29.6	26.5
276	29.6	26.5
277	29.6	26.5
278	29.6	26.5
279	29.6	26.5
280	29.6	26.5
281	29.6	26.5625
282	29.7	26.5625
283	29.7	26.5625
284	29.7	26.5625
285	29.7	26.5625
286	29.7	26.5625
287	29.7	26.5625
288	29.7	26.5625
289	29.7	26.5625
290	29.7	26.625
291	29.7	26.625
292	29.8	26.5625
293	29.8	26.625
294	29.8	26.625
295	29.8	26.625
296	29.8	26.625
297	29.8	26.625
298	29.8	26.625
299	29.8	26.6875
300	29.8	26.6875
301	29.8	26.625
302	29.8	26.6875
303	29.8	26.6875
304	29.9	26.625
305	29.9	26.6875
306	29.9	26.6875
307	29.9	26.6875
308	29.9	26.6875
309	29.9	26.6875
310	29.9	26.6875
311	29.9	26.6875
312	29.9	26.6875
313	29.9	26.6875
314	30	26.6875
315	30	26.75
316	30	26.75
317	30	26.6875
318	30	26.75
319	30	26.75
320	30.1	26.75
321	30.1	26.75
322	30.1	26.75
323	30.1	26.8125
324	30.1	26.75
325	30.1	26.8125
326	30.1	26.8125
327	30.1	26.8125
328	30.1	26.8125
329	30.1	26.8125
330	30.1	26.8125
331	30.1	26.8125
332	30.2	26.8125
333	30.2	26.8125
334	30.2	26.8125
335	30.2	26.8125
336	30.2	26.875
337	30.2	26.875
338	30.2	26.8125
339	30.2	26.8125
340	30.2	26.875
341	30.2	26.875
342	30.3	26.875
343	30.3	26.875
344	30.3	26.875
345	30.3	26.875
346	30.3	26.875
347	30.3	26.875
348	30.3	26.9375
349	30.3	26.875
350	30.3	26.9375
351	30.3	26.9375
352	30.3	26.9375
353	30.3	26.9375
354	30.4	26.875
355	30.4	26.875
356	30.4	26.9375
357	30.4	26.9375
358	30.4	26.9375
359	30.4	26.9375
360	30.4	26.9375
361	30.4	26.9375
362	30.4	27
363	30.4	27
364	30.4	27
365	30.4	27
366	30.4	27
367	30.4	27
368	30.5	27
369	30.5	27
370	30.5	27.0625
371	30.5	27
372	30.5	27.0625
373	30.5	27.0625
374	30.5	27.0625
375	30.5	27.0625
376	30.5	27
377	30.5	27.0625
378	30.5	27.0625
379	30.5	27.0625
380	30.6	27.0625
381	30.6	27.0625
382	30.6	27.0625
383	30.6	27.0625
384	30.6	27.0625
385	30.6	27.0625
386	30.6	27.125
387	30.6	27.125
388	30.6	27.125
389	30.6	27.125
390	30.6	27.125
391	30.6	27.125
392	30.6	27.125
393	30.7	27.125
394	30.7	27.125
395	30.7	27.1875
396	30.7	27.1875
397	30.7	27.1875
398	30.7	27.125
399	30.7	27.1875
400	30.7	27.1875
401	30.7	27.1875
402	30.7	27.1875
403	30.7	27.1875
404	30.7	27.1875
405	30.8	27.1875
