#t (s)	T TESTO (°C)	T DS18B20 (°C)
1313	34.3	30.375
1314	34.3	30.375
1315	34.3	30.375
1316	34.3	30.375
1317	34.3	30.4375
1318	34.3	30.4375
1319	34.3	30.4375
1320	34.3	30.375
1321	34.3	30.375
1322	34.3	30.375
1323	34.3	30.375
1324	34.3	30.4375
1325	34.3	30.375
1326	34.3	30.375
1327	34.3	30.4375
1328	34.3	30.375
1329	34.3	30.375
1330	34.3	30.4375
1331	34.3	30.4375
1332	34.3	30.4375
1333	34.3	30.4375
1334	34.3	30.4375
1335	34.3	30.4375
1336	34.3	30.4375
1337	34.3	30.4375
1338	34.3	30.4375
1339	34.3	30.4375
1340	34.3	30.4375
1341	34.3	30.4375
1342	34.3	30.4375
1343	34.3	30.4375
1344	34.3	30.4375
1345	34.4	30.4375
1346	34.4	30.4375
1347	34.4	30.4375
1348	34.4	30.4375
1349	34.4	30.4375
1350	34.4	30.4375
1351	34.4	30.4375
1352	34.4	30.4375
1353	34.4	30.4375
1354	34.4	30.5
1355	34.4	30.5
1356	34.4	30.5
1357	34.4	30.4375
1358	34.4	30.4375
1359	34.4	30.5
1360	34.4	30.4375
1361	34.4	30.5
1362	34.4	30.4375
1363	34.4	30.4375
1364	34.4	30.5
1365	34.4	30.4375
1366	34.4	30.5
1367	34.4	30.5
1368	34.4	30.5
1369	34.4	30.5
1370	34.4	30.5
1371	34.4	30.5
1372	34.4	30.5
1373	34.4	30.5
1374	34.4	30.5
1375	34.4	30.5
1376	34.4	30.5
1377	34.5	30.5
1378	34.5	30.5
1379	34.5	30.5
1380	34.5	30.5
1381	34.5	30.5625
1382	34.5	30.5
1383	34.5	30.5
1384	34.5	30.5
1385	34.5	30.5625
1386	34.5	30.5
1387	34.5	30.5625
1388	34.5	30.5625
1389	34.5	30.5
1390	34.5	30.5625
1391	34.5	30.5625
1392	34.5	30.5625
1393	34.5	30.5625
1394	34.5	30.5625
1395	34.5	30.5625
1396	34.5	30.5625
1397	34.5	30.5625
1398	34.5	30.5625
1399	34.5	30.5625
1400	34.5	30.5625
1401	34.5	30.5625
1402	34.5	30.5625
1403	34.5	30.5625
1404	34.5	30.5625
1405	34.5	30.5625
1406	34.5	30.5625
1407	34.5	30.5625
1408	34.5	30.5625
1409	34.5	30.5625
1410	34.5	30.5625
1411	34.5	30.5625
1412	34.5	30.5625
1413	34.5	30.625
1414	34.5	30.5625
1415	34.5	30.625
1416	34.5	30.5625
1417	34.5	30.625
1418	34.5	30.625
1419	34.5	30.5625
1420	34.5	30.625
1421	34.5	30.625
1422	34.5	30.625
1423	34.5	30.625
1424	34.5	30.625
1425	34.5	30.625
1426	34.5	30.625
1427	34.5	30.625
1428	34.5	30.625
1429	34.5	30.625
1430	34.5	30.625
1431	34.5	30.625
1432	34.5	30.625
1433	34.5	30.625
1434	34.5	30.625
1435	34.5	30.625
1436	34.5	30.625
1437	34.5	30.625
1438	34.5	30.625
1439	34.5	30.625
1440	34.5	30.6875
1441	34.5	30.625
1442	34.5	30.6875
1443	34.5	30.625
1444	34.5	30.625
1445	34.5	30.625
1446	34.6	30.625
1447	34.6	30.625
1448	34.6	30.6875
1449	34.6	30.625
1450	34.6	30.6875
1451	34.6	30.625
1452	34.6	30.625
1453	34.6	30.6875
1454	34.6	30.6875
1455	34.6	30.6875
1456	34.6	30.6875
1457	34.6	30.6875
1458	34.6	30.6875
1459	34.6	30.6875
1460	34.6	30.6875
1461	34.6	30.6875
1462	34.6	30.6875
1463	34.6	30.6875
1464	34.6	30.6875
1465	34.6	30.6875
1466	34.6	30.6875
1467	34.6	30.6875
1468	34.6	30.6875
1469	34.6	30.6875
1470	34.6	30.6875
1471	34.6	30.6875
1472	34.6	30.6875
1473	34.6	30.6875
1474	34.6	30.6875
1475	34.6	30.6875
1476	34.6	30.6875
1477	34.6	30.6875
1478	34.6	30.6875
1479	34.6	30.6875
1480	34.6	30.6875
1481	34.6	30.75
1482	34.6	30.6875
1483	34.6	30.6875
1484	34.6	30.6875
1485	34.6	30.75
1486	34.6	30.75
1487	34.6	30.75
1488	34.6	30.75
1489	34.6	30.75
1490	34.7	30.75
1491	34.7	30.75
1492	34.7	30.75
1493	34.7	30.6875
1494	34.7	30.75
1495	34.7	30.75
1496	34.7	30.75
1497	34.7	30.75
1498	34.7	30.75
1499	34.7	30.75
1500	34.7	30.75
1501	34.7	30.75
1502	34.7	30.75
1503	34.7	30.75
1504	34.7	30.75
1505	34.7	30.75
1506	34.7	30.75
1507	34.7	30.75
1508	34.7	30.75
1509	34.7	30.75
1510	34.7	30.8125
1511	34.7	30.75
1512	34.7	30.75
1513	34.7	30.75
1514	34.7	30.75
1515	34.7	30.75
1516	34.7	30.75
1517	34.7	30.75
1518	34.7	30.8125
1519	34.7	30.75
1520	34.7	30.8125
1521	34.7	30.8125
1522	34.7	30.8125
1523	34.7	30.8125
1524	34.7	30.8125
1525	34.7	30.8125
1526	34.7	30.8125
1527	34.7	30.8125
1528	34.7	30.8125
1529	34.7	30.8125
1530	34.7	30.8125
1531	34.7	30.8125
1532	34.7	30.8125
1533	34.7	30.8125
1534	34.7	30.8125
1535	34.7	30.8125
1536	34.7	30.8125
1537	34.7	30.8125
1538	34.7	30.8125
1539	34.7	30.8125
1540	34.7	30.8125
1541	34.7	30.8125
1542	34.7	30.8125
1543	34.7	30.8125
1544	34.7	30.8125
1545	34.7	30.8125
1546	34.7	30.8125
1547	34.7	30.8125
1548	34.7	30.8125
1549	34.7	30.875
1550	34.7	30.8125
1551	34.7	30.875
1552	34.7	30.8125
1553	34.7	30.8125
1554	34.7	30.8125
1555	34.7	30.8125
1556	34.7	30.8125
1557	34.7	30.875
1558	34.7	30.875
1559	34.7	30.875
1560	34.7	30.875
1561	34.7	30.8125
1562	34.7	30.875
1563	34.7	30.875
1564	34.7	30.875
1565	34.7	30.875
1566	34.8	30.875
1567	34.8	30.875
1568	34.7	30.875
1569	34.7	30.875
1570	34.7	30.875
1571	34.7	30.875
1572	34.8	30.875
1573	34.8	30.875
1574	34.8	30.875
1575	34.8	30.875
1576	34.8	30.875
1577	34.8	30.875
1578	34.8	30.875
1579	34.8	30.875
1580	34.8	30.875
1581	34.8	30.875
1582	34.8	30.875
1583	34.8	30.875
1584	34.8	30.875
1585	34.8	30.875
1586	34.8	30.875
1587	34.8	30.875
1588	34.8	30.875
1589	34.8	30.9375
1590	34.8	30.875
1591	34.8	30.875
1592	34.8	30.9375
1593	34.8	30.9375
1594	34.8	30.9375
1595	34.8	30.9375
1596	34.8	30.9375
1597	34.8	30.9375
1598	34.8	30.9375
1599	34.8	30.875
1600	34.8	30.9375
1601	34.8	30.9375
1602	34.8	30.9375
1603	34.8	30.9375
1604	34.8	30.9375
1605	34.8	30.9375
1606	34.8	30.9375
1607	34.8	30.9375
1608	34.8	30.9375
1609	34.8	30.9375
1610	34.8	30.9375
1611	34.8	30.9375
1612	34.8	30.9375
1613	34.8	30.9375
1614	34.8	30.9375
1615	34.8	30.9375
1616	34.8	30.9375
1617	34.8	30.9375
1618	34.8	30.9375
1619	34.8	30.9375
1620	34.8	31
1621	34.8	30.9375
1622	34.8	30.9375
1623	34.8	30.9375
1624	34.8	30.9375
1625	34.8	30.9375
1626	34.9	30.9375
1627	34.9	30.9375
1628	34.9	30.9375
1629	34.9	30.9375
1630	34.9	30.9375
1631	34.9	30.9375
1632	34.9	31
1633	34.9	31
1634	34.9	30.9375
1635	34.9	30.9375
1636	34.9	31
1637	34.9	30.9375
1638	34.9	30.9375
1639	34.9	30.9375
1640	34.9	31
1641	34.9	31
1642	34.9	31
1643	34.9	30.9375
1644	34.9	31
1645	34.9	31
1646	34.9	31
1647	34.9	31
1648	34.9	31
1649	34.9	31
1650	34.9	31
1651	34.9	31
1652	34.9	31
1653	34.9	31
1654	34.9	31
1655	34.9	31
1656	34.9	31
1657	34.9	31
1658	34.9	31
1659	34.9	31
1660	34.9	31
1661	34.9	31
1662	34.9	31
1663	34.9	31
1664	34.9	31
1665	34.9	31.0625
1666	34.9	31
1667	34.9	31
1668	34.9	31.0625
1669	34.9	31.0625
1670	34.9	31
1671	34.9	31
1672	34.9	31.0625
1673	34.9	31.0625
1674	34.9	31.0625
1675	34.9	31
1676	34.9	31.0625
1677	34.9	31.0625
1678	34.9	31.0625
1679	34.9	31.0625
1680	34.9	31.0625
1681	34.9	31.0625
1682	34.9	31.0625
1683	34.9	31.0625
1684	34.9	31.0625
1685	34.9	31.0625
1686	34.9	31.0625
1687	34.9	31.0625
1688	34.9	31.0625
1689	34.9	31.0625
1690	34.9	31.0625
1691	34.9	31.0625
1692	34.9	31.0625
1693	34.9	31.0625
1694	34.9	31.0625
1695	34.9	31.0625
1696	34.9	31.0625
1697	34.9	31.0625
1698	34.9	31.0625
1699	34.9	31.0625
1700	34.9	31.0625
1701	34.9	31.0625
1702	34.9	31.0625
1703	34.9	31.0625
1704	34.9	31.0625
1705	34.9	31.0625
1706	34.9	31.0625
1707	34.9	31.0625
1708	34.9	31.0625
1709	34.9	31.125
1710	34.9	31.125
1711	34.9	31.0625
1712	34.9	31.125
1713	35	31.125
1714	35	31.125
1715	34.9	31.125
1716	34.9	31.0625
1717	35	31.0625
1718	35	31.0625
1719	35	31.125
1720	35	31.125
1721	35	31.125
1722	35	31.125
1723	35	31.125
1724	35	31.125
1725	35	31.125
1726	35	31.0625
1727	35	31.125
1728	35	31.125
1729	35	31.125
1730	35	31.125
1731	35	31.0625
1732	35	31.0625
1733	35	31.125
1734	35	31.125
1735	35	31.125
1736	35	31.125
1737	35	31.125
1738	35	31.125
1739	35	31.125
1740	35	31.125
1741	35	31.125
1742	35	31.125
1743	35	31.125
1744	35	31.125
1745	35	31.125
1746	35	31.125
1747	35	31.125
1748	35	31.125
1749	35	31.125
1750	35	31.125
1751	35	31.125
1752	35	31.125
1753	35	31.125
1754	35	31.125
1755	35	31.125
1756	35	31.1875
1757	35	31.125
1758	35	31.1875
1759	35	31.1875
1760	35	31.1875
1761	35	31.1875
1762	35	31.1875
1763	35	31.1875
1764	35	31.1875
1765	35.1	31.1875
1766	35.1	31.1875
1767	35.1	31.1875
1768	35.1	31.125
1769	35.1	31.1875
1770	35.1	31.1875
1771	35.1	31.1875
1772	35.1	31.1875
1773	35.1	31.1875
1774	35.1	31.1875
1775	35.1	31.1875
1776	35.1	31.1875
1777	35.1	31.1875
1778	35.1	31.1875
1779	35.1	31.1875
1780	35.1	31.1875
1781	35.1	31.1875
1782	35.1	31.1875
1783	35.1	31.1875
1784	35.1	31.1875
1785	35.1	31.1875
1786	35.1	31.1875
1787	35.1	31.1875
1788	35.1	31.1875
1789	35.1	31.1875
1790	35.1	31.1875
1791	35.1	31.1875
1792	35.1	31.1875
1793	35.1	31.1875
1794	35.1	31.1875
1795	35.1	31.1875
1796	35.1	31.1875
1797	35.1	31.25
1798	35.1	31.25
1799	35.1	31.1875
1800	35.1	31.1875
1801	35.1	31.1875
1802	35.1	31.25
1803	35.1	31.1875
1804	35.1	31.1875
1805	35.1	31.25
1806	35.1	31.25
1807	35.1	31.25
1808	35.1	31.25
1809	35.1	31.25
1810	35.1	31.25
1811	35.1	31.25
1812	35.1	31.25
1813	35.1	31.25
1814	35.1	31.25
1815	35.1	31.25
1816	35.1	31.25
1817	35.1	31.25
1818	35.1	31.25
1819	35.1	31.25
1820	35.1	31.25
1821	35.1	31.25
1822	35.1	31.25
1823	35.1	31.25
1824	35.1	31.25
1825	35.1	31.25
1826	35.1	31.25
1827	35.1	31.25
1828	35.1	31.25
1829	35.1	31.25
1830	35.1	31.25
1831	35.1	31.25
1832	35.1	31.25
1833	35.1	31.25
1834	35.1	31.25
1835	35.1	31.25
1836	35.1	31.3125
1837	35.1	31.3125
1838	35.1	31.25
1839	35.2	31.3125
1840	35.2	31.25
1841	35.2	31.3125
1842	35.2	31.25
1843	35.2	31.25
1844	35.2	31.3125
1845	35.2	31.25
1846	35.2	31.25
1847	35.2	31.25
1848	35.2	31.25
1849	35.2	31.3125
1850	35.2	31.3125
1851	35.2	31.3125
1852	35.2	31.25
1853	35.2	31.3125
1854	35.2	31.25
1855	35.2	31.3125
1856	35.2	31.3125
1857	35.2	31.3125
1858	35.2	31.3125
1859	35.2	31.3125
1860	35.2	31.3125
1861	35.2	31.3125
1862	35.2	31.3125
1863	35.2	31.3125
1864	35.2	31.3125
1865	35.2	31.3125
1866	35.2	31.3125
1867	35.2	31.3125
1868	35.2	31.3125
1869	35.2	31.3125
1870	35.2	31.3125
1871	35.2	31.3125
1872	35.2	31.3125
1873	35.2	31.3125
1874	35.2	31.375
1875	35.2	31.3125
1876	35.2	31.3125
1877	35.2	31.3125
1878	35.2	31.3125
1879	35.2	31.3125
1880	35.2	31.3125
1881	35.2	31.3125
1882	35.2	31.375
1883	35.2	31.3125
1884	35.2	31.3125
1885	35.2	31.3125
1886	35.2	31.3125
1887	35.2	31.375
1888	35.2	31.3125
1889	35.2	31.3125
1890	35.2	31.3125
1891	35.2	31.3125
1892	35.2	31.3125
1893	35.2	31.3125
1894	35.2	31.375
1895	35.2	31.375
1896	35.2	31.375
1897	35.2	31.375
1898	35.2	31.3125
1899	35.2	31.375
1900	35.2	31.375
1901	35.2	31.375
1902	35.2	31.375
1903	35.2	31.375
1904	35.2	31.375
1905	35.2	31.375
1906	35.2	31.375
1907	35.2	31.375
1908	35.2	31.375
1909	35.2	31.375
1910	35.2	31.3125
1911	35.2	31.375
1912	35.2	31.375
1913	35.2	31.375
1914	35.2	31.375
1915	35.2	31.375
1916	35.2	31.375
1917	35.2	31.375
1918	35.2	31.375
1919	35.2	31.375
1920	35.2	31.375
1921	35.2	31.375
1922	35.2	31.375
1923	35.2	31.375
1924	35.2	31.375
1925	35.2	31.375
1926	35.3	31.375
1927	35.3	31.375
1928	35.3	31.375
1929	35.3	31.375
1930	35.3	31.375
1931	35.3	31.375
1932	35.2	31.375
1933	35.2	31.375
1934	35.3	31.375
1935	35.3	31.375
1936	35.3	31.375
1937	35.3	31.4375
1938	35.3	31.375
1939	35.3	31.4375
1940	35.3	31.4375
1941	35.3	31.375
1942	35.3	31.4375
1943	35.3	31.4375
1944	35.3	31.4375
1945	35.3	31.375
1946	35.3	31.4375
1947	35.3	31.375
1948	35.3	31.4375
1949	35.3	31.4375
1950	35.3	31.4375
1951	35.3	31.4375
1952	35.3	31.4375
1953	35.3	31.4375
1954	35.3	31.4375
1955	35.3	31.4375
1956	35.3	31.4375
1957	35.3	31.4375
1958	35.3	31.4375
1959	35.3	31.4375
1960	35.3	31.4375
1961	35.3	31.4375
1962	35.3	31.4375
1963	35.3	31.4375
1964	35.3	31.4375
1965	35.3	31.4375
1966	35.3	31.4375
1967	35.3	31.4375
1968	35.3	31.4375
1969	35.3	31.4375
1970	35.3	31.4375
1971	35.3	31.4375
1972	35.3	31.4375
1973	35.3	31.4375
1974	35.3	31.4375
1975	35.3	31.4375
1976	35.3	31.4375
1977	35.3	31.4375
1978	35.3	31.4375
1979	35.3	31.4375
1980	35.3	31.4375
1981	35.3	31.4375
1982	35.3	31.4375
1983	35.3	31.4375
1984	35.3	31.4375
1985	35.3	31.4375
1986	35.3	31.5
1987	35.3	31.5
1988	35.3	31.5
1989	35.3	31.5
1990	35.3	31.5
1991	35.3	31.4375
1992	35.3	31.5
1993	35.3	31.4375
1994	35.3	31.5
1995	35.3	31.5
1996	35.3	31.5
1997	35.3	31.4375
1998	35.3	31.4375
1999	35.3	31.4375
2000	35.3	31.5
2001	35.3	31.5
2002	35.3	31.5
2003	35.3	31.4375
2004	35.3	31.5
2005	35.3	31.5
2006	35.3	31.5
2007	35.3	31.5
2008	35.3	31.5
2009	35.3	31.5
2010	35.3	31.5
2011	35.3	31.5
2012	35.3	31.5
2013	35.3	31.5
2014	35.3	31.5
2015	35.3	31.5
2016	35.3	31.5
2017	35.3	31.5
2018	35.4	31.5
2019	35.4	31.5
2020	35.4	31.5
2021	35.4	31.5
2022	35.4	31.5
2023	35.4	31.5
2024	35.4	31.5
2025	35.4	31.5
2026	35.4	31.5
2027	35.4	31.5
2028	35.4	31.5
2029	35.4	31.5
2030	35.4	31.5
2031	35.4	31.5
2032	35.4	31.5
2033	35.4	31.5
2034	35.4	31.5
2035	35.4	31.5
2036	35.4	31.5
2037	35.4	31.5
2038	35.4	31.5
2039	35.4	31.5
2040	35.4	31.5
2041	35.4	31.5
2042	35.4	31.5
2043	35.4	31.5
2044	35.4	31.5
2045	35.4	31.5
2046	35.4	31.5
2047	35.4	31.5625
2048	35.4	31.5625
2049	35.4	31.5
2050	35.4	31.5
2051	35.4	31.5
2052	35.4	31.5
2053	35.4	31.5625
2054	35.4	31.5
2055	35.4	31.5625
2056	35.4	31.5
2057	35.4	31.5625
2058	35.4	31.5
2059	35.4	31.5
2060	35.4	31.5625
2061	35.4	31.5625
2062	35.4	31.5625
2063	35.4	31.5
2064	35.4	31.5625
2065	35.4	31.5
2066	35.4	31.5625
2067	35.4	31.5625
2068	35.4	31.5625
2069	35.4	31.5
2070	35.4	31.5625
2071	35.4	31.5625
2072	35.4	31.5625
2073	35.4	31.5625
2074	35.4	31.5625
2075	35.4	31.5625
2076	35.4	31.5625
2077	35.4	31.5625
2078	35.4	31.5625
2079	35.4	31.5625
2080	35.4	31.5625
2081	35.4	31.5625
2082	35.4	31.5625
2083	35.4	31.5625
2084	35.4	31.5625
2085	35.4	31.5625
2086	35.4	31.5625
2087	35.4	31.5625
2088	35.4	31.5625
2089	35.4	31.5625
2090	35.4	31.5625
2091	35.4	31.5625
2092	35.4	31.5625
2093	35.4	31.5625
2094	35.4	31.5625
2095	35.4	31.5625
2096	35.4	31.5625
2097	35.4	31.5625
2098	35.4	31.5625
2099	35.4	31.5625
2100	35.4	31.5625
2101	35.4	31.5625
2102	35.4	31.5625
2103	35.4	31.5625
2104	35.4	31.5625
2105	35.4	31.5625
2106	35.4	31.5625
2107	35.4	31.5625
2108	35.4	31.5625
2109	35.4	31.5625
2110	35.4	31.5625
2111	35.4	31.5625
2112	35.4	31.5625
2113	35.4	31.625
2114	35.4	31.5625
2115	35.4	31.5625
2116	35.4	31.625
2117	35.4	31.625
2118	35.4	31.5625
2119	35.4	31.5625
2120	35.4	31.5625
2121	35.4	31.5625
2122	35.5	31.5625
2123	35.5	31.625
2124	35.5	31.625
2125	35.5	31.5625
2126	35.4	31.625
2127	35.4	31.5625
2128	35.5	31.5625
2129	35.5	31.5625
2130	35.5	31.625
2131	35.5	31.625
2132	35.5	31.625
2133	35.5	31.625
2134	35.5	31.5625
2135	35.5	31.625
2136	35.5	31.625
2137	35.5	31.625
2138	35.5	31.625
2139	35.5	31.625
2140	35.5	31.625
2141	35.5	31.625
2142	35.5	31.625
2143	35.5	31.625
2144	35.5	31.625
2145	35.5	31.625
2146	35.5	31.625
2147	35.5	31.625
2148	35.5	31.625
2149	35.5	31.625
2150	35.5	31.625
2151	35.5	31.625
2152	35.5	31.625
2153	35.5	31.625
2154	35.5	31.625
2155	35.5	31.625
2156	35.5	31.625
2157	35.5	31.625
2158	35.5	31.625
2159	35.5	31.625
2160	35.5	31.625
2161	35.5	31.625
2162	35.5	31.625
2163	35.5	31.625
2164	35.5	31.625
2165	35.5	31.625
2166	35.5	31.625
2167	35.5	31.625
2168	35.5	31.625
2169	35.5	31.625
2170	35.5	31.6875
2171	35.5	31.625
2172	35.5	31.625
2173	35.5	31.625
2174	35.5	31.625
2175	35.5	31.625
2176	35.5	31.625
2177	35.5	31.625
2178	35.5	31.625
2179	35.5	31.625
2180	35.5	31.6875
2181	35.5	31.625
2182	35.5	31.625
2183	35.5	31.625
2184	35.5	31.625
2185	35.5	31.625
2186	35.5	31.6875
2187	35.5	31.625
2188	35.5	31.6875
2189	35.5	31.625
2190	35.5	31.6875
2191	35.5	31.6875
2192	35.5	31.6875
2193	35.5	31.625
2194	35.5	31.6875
2195	35.5	31.625
2196	35.5	31.625
2197	35.5	31.6875
2198	35.5	31.6875
2199	35.5	31.6875
2200	35.5	31.6875
2201	35.5	31.625
2202	35.5	31.6875
2203	35.5	31.6875
2204	35.5	31.6875
2205	32.5	31.6875
2206	26.1	31.6875
2207	35.5	31.6875
