#t(s)	T TESTO (°C)	T DS18B20 (°C)
305	33.9	29.875
306	33.9	29.875
307	33.9	29.875
308	33.9	29.9375
309	33.9	29.875
310	33.9	29.875
311	33.9	29.875
312	33.9	29.875
313	33.9	29.875
314	33.9	29.875
315	33.9	29.9375
316	33.9	29.9375
317	33.9	29.9375
318	33.9	29.9375
319	33.9	29.875
320	33.9	29.9375
321	33.9	29.9375
322	33.9	29.9375
323	33.9	29.9375
324	33.9	29.9375
325	33.9	29.875
326	33.9	29.9375
327	33.9	29.9375
328	33.9	29.9375
329	33.9	29.9375
330	33.9	29.9375
331	34	29.9375
332	34	29.9375
333	34	29.9375
334	34	29.9375
335	34	29.9375
336	34	29.9375
337	34	29.9375
338	34	29.9375
339	34	29.9375
340	34	29.9375
341	34	29.9375
342	34	29.9375
343	34	29.9375
344	34	29.9375
345	34	29.9375
346	34	29.9375
347	34	29.9375
348	34	29.9375
349	34	29.9375
350	34	29.9375
351	34	29.9375
352	34	29.9375
353	34	29.9375
354	34	29.9375
355	34	29.9375
356	34	29.9375
357	34	29.9375
358	34	29.9375
359	34	29.9375
360	34	29.9375
361	34	29.9375
362	34	29.9375
363	34	29.9375
364	34	29.9375
365	34	29.9375
366	34	29.9375
367	34	29.9375
368	34	29.9375
369	34	29.9375
370	34	29.9375
371	34	29.9375
372	34	29.9375
373	34	29.9375
374	34	29.9375
375	34	29.9375
376	34	29.9375
377	34	29.9375
378	34	29.9375
379	34	29.9375
380	34	29.9375
381	34	29.9375
382	34	29.9375
383	34	29.9375
384	34	29.9375
385	34	29.9375
386	34	29.9375
387	34.1	29.9375
388	34.1	30.0625
389	34.1	30.0625
390	34.1	30.0625
391	34.1	30.0625
392	34.1	30.0625
393	34.1	30.0625
394	34.1	30.0625
395	34.1	30.0625
396	34.1	30.0625
397	34.1	30.0625
398	34.1	30.0625
399	34.1	30.0625
400	34.1	30.0625
401	34.1	30.0625
402	34.1	30.0625
403	34.1	30.0625
404	34.1	30.0625
405	34.1	30.0625
406	34.1	30.0625
407	34.1	30.0625
408	34.1	30.0625
409	34.1	30.0625
410	34.1	30.0625
411	34.1	30.0625
412	34.1	30.0625
413	34.1	30.0625
414	34.1	30.0625
415	34.2	30.0625
416	34.2	30.0625
417	34.1	30.0625
418	34.1	30.0625
419	34.2	30.0625
420	34.2	30.0625
421	34.2	30.0625
422	34.2	30.0625
423	34.2	30.0625
424	34.2	30.0625
425	34.2	30.0625
426	34.2	30.0625
427	34.2	30.0625
428	34.2	30.0625
429	34.2	30.0625
430	34.2	30.0625
431	34.2	30.0625
432	34.2	30.0625
433	34.2	30.0625
434	34.2	30.0625
435	34.2	30.0625
436	34.2	30.0625
437	34.2	30.0625
438	34.2	30.0625
439	34.2	30.0625
440	34.2	30.0625
441	34.2	30.0625
442	34.2	30.0625
443	34.2	30.0625
444	34.2	30.0625
445	34.2	30.0625
446	34.2	30.0625
447	34.2	30.125
448	34.2	30.125
449	34.2	30.125
450	34.2	30.0625
451	34.2	30.125
452	34.2	30.0625
453	34.2	30.125
454	34.2	30.125
455	34.2	30.0625
456	34.2	30.125
457	34.2	30.0625
458	34.2	30.125
459	34.2	30.125
460	34.2	30.125
461	34.2	30.125
462	34.2	30.125
463	34.2	30.125
464	34.2	30.125
465	34.2	30.125
466	34.2	30.125
467	34.2	30.125
468	34.2	30.125
469	34.2	30.125
470	34.2	30.125
471	34.2	30.125
472	34.2	30.125
473	34.2	30.125
474	34.2	30.125
475	34.2	30.125
476	34.2	30.125
477	34.2	30.125
478	34.2	30.125
479	34.2	30.125
480	34.2	30.125
481	34.2	30.125
482	34.2	30.125
483	34.2	30.125
484	34.2	30.125
485	34.2	30.125
486	34.2	30.125
487	34.2	30.1875
488	34.3	30.125
489	34.3	30.125
490	34.3	30.125
491	34.3	30.125
492	34.3	30.125
493	34.3	30.125
494	34.3	30.125
495	34.3	30.125
496	34.3	30.125
497	34.3	30.125
498	34.3	30.1875
499	34.3	30.125
500	34.3	30.1875
501	34.3	30.125
502	34.3	30.1875
503	34.3	30.1875
504	34.3	30.125
505	34.3	30.1875
506	34.3	30.1875
507	34.3	30.1875
508	34.3	30.1875
509	34.3	30.1875
510	34.3	30.1875
511	34.3	30.1875
512	34.3	30.1875
513	34.3	30.1875
514	34.3	30.1875
515	34.3	30.1875
516	34.3	30.1875
517	34.3	30.1875
518	34.3	30.1875
519	34.3	30.1875
520	34.3	30.1875
521	34.3	30.1875
522	34.3	30.1875
523	34.3	30.1875
524	34.3	30.1875
525	34.3	30.1875
526	34.3	30.1875
527	34.3	30.1875
528	34.3	30.1875
529	34.3	30.1875
530	34.3	30.1875
531	34.3	30.1875
532	34.3	30.1875
533	34.3	30.1875
534	34.3	30.1875
535	34.3	30.1875
536	34.3	30.1875
537	34.3	30.1875
538	34.3	30.1875
539	34.3	30.1875
540	34.3	30.1875
541	34.3	30.1875
542	34.3	30.1875
543	34.3	30.1875
544	34.3	30.1875
545	34.3	30.1875
546	34.3	30.1875
547	34.3	30.1875
548	34.3	30.1875
549	34.3	30.1875
550	34.3	30.25
551	34.3	30.25
552	34.3	30.1875
553	34.3	30.1875
554	34.3	30.1875
555	34.3	30.25
556	34.3	30.1875
557	34.3	30.25
558	34.3	30.25
559	34.3	30.1875
560	34.3	30.25
561	34.3	30.25
562	34.3	30.25
563	34.3	30.25
564	34.4	30.25
565	34.4	30.25
566	34.4	30.25
567	34.4	30.25
568	34.4	30.1875
569	34.4	30.25
570	34.4	30.25
571	34.4	30.1875
572	34.4	30.25
573	34.4	30.25
574	34.4	30.25
