timestamp,uV,digital
513,1538000,1774
1746,1508000,1693
2080,1579000,1787
2371,1536000,1757
2662,1487000,1679
2952,1551000,1744
3243,1565000,1790
3535,1492000,1700
3825,1513000,1698
4116,1577000,1789
4407,1521000,1740
4697,1487000,1674
4989,1556000,1751
5279,1555000,1778
5570,1487000,1687
5861,1521000,1707
6152,1574000,1789
6442,1511000,1725
6733,1487000,1675
7023,1564000,1762
7314,1545000,1770
7605,1481000,1679
7896,1529000,1714
8186,1569000,1787
8492,1499000,1707
8782,1499000,1681
9073,1573000,1779
9364,1534000,1755
9655,1485000,1677
9946,1549000,1741
10244,1565000,1786
10535,1495000,1701
10826,1512000,1699
11117,1577000,1791
11408,1524000,1744
11699,1488000,1680
11990,1564000,1762
12281,1562000,1785
12571,1492000,1696
12866,1532000,1717
13157,1582000,1799
13448,1516000,1734
13738,1500000,1685
14029,1577000,1776
14320,1556000,1781
14610,1492000,1695
14901,1545000,1735
15192,1585000,1805
15482,1515000,1730
15773,1512000,1699
16064,1587000,1797
16355,1550000,1776
16646,1499000,1695
16936,1563000,1757
17227,1582000,1808
17519,1512000,1723
17811,1525000,1712
18101,1589000,1808
18399,1538000,1761
18690,1500000,1694
18981,1574000,1775
19272,1573000,1798
19567,1503000,1712
19857,1537000,1727
20148,1590000,1809
20439,1527000,1746
20729,1504000,1696
21021,1581000,1785
21312,1564000,1787
21603,1500000,1702
21894,1548000,1739
22184,1588000,1808
22475,1517000,1734
22767,1511000,1699
23057,1584000,1792
23348,1549000,1776
23639,1496000,1692
23929,1555000,1746
24220,1580000,1803
24511,1508000,1715
24802,1513000,1702
25092,1582000,1796
25383,1537000,1757
25674,1490000,1683
25965,1560000,1757
26256,1566000,1791
26548,1492000,1699
26839,1518000,1706
27130,1579000,1792
27421,1520000,1738
27713,1489000,1680
28004,1567000,1764
28304,1552000,1776
28594,1485000,1684
28889,1534000,1719
29180,1575000,1792
29471,1508000,1717
29761,1498000,1682
30052,1571000,1776
30342,1540000,1763
30633,1486000,1680
30924,1540000,1733
31215,1569000,1791
31506,1500000,1711
31796,1508000,1692
32087,1577000,1783
32378,1534000,1754
32668,1487000,1679
32959,1555000,1751
33250,1565000,1789
33541,1492000,1702
33831,1517000,1703
34123,1581000,1794
34414,1524000,1744
34704,1489000,1680
34995,1565000,1765
35286,1560000,1783
35576,1491000,1693
35867,1529000,1714
36158,1581000,1797
36449,1516000,1733
36740,1499000,1683
37031,1575000,1776
37321,1552000,1777
37612,1492000,1693
37903,1545000,1735
38197,1579000,1802
38498,1510000,1719
38789,1514000,1699
39079,1587000,1795
39370,1542000,1767
39661,1495000,1689
39951,1564000,1759
40242,1577000,1803
40532,1505000,1715
40823,1526000,1712
41114,1590000,1808
41404,1537000,1759
41695,1500000,1693
41985,1575000,1776
42276,1575000,1802
42567,1505000,1712
42858,1539000,1726
43148,1592000,1809
43439,1533000,1744
43729,1504000,1695
44020,1581000,1786
44310,1564000,1791
44601,1497000,1698
44892,1549000,1739
45183,1589000,1808
45473,1518000,1735
45764,1512000,1699
46055,1586000,1793
46346,1552000,1776
46636,1495000,1693
46927,1556000,1747
47218,1583000,1807
47512,1508000,1718
47804,1520000,1706
48094,1589000,1805
48396,1538000,1759
48686,1498000,1690
48977,1567000,1769
49267,1569000,1793
49558,1500000,1707
49848,1531000,1719
50139,1588000,1808
50429,1527000,1745
50720,1500000,1693
51011,1577000,1778
51301,1564000,1787
51592,1497000,1700
51883,1540000,1733
52174,1587000,1808
52464,1517000,1732
52755,1507000,1693
53045,1582000,1787
53336,1552000,1778
53627,1494000,1691
53918,1552000,1744
54209,1585000,1807
54500,1512000,1722
54791,1528000,1713
55149,1582000,1799
55485,1500000,1712
55839,1538000,1727
56185,1581000,1802
56470,1513000,1729
56755,1500000,1687
57044,1577000,1782
57329,1553000,1776
57615,1488000,1696
57922,1552000,1747
