timestamp,uV,digital
518,1533000,1741
1753,1538000,1744
2074,1539000,1745
2363,1537000,1742
2666,1538000,1744
2951,1540000,1747
3236,1538000,1746
3521,1537000,1743
3806,1542000,1744
4091,1542000,1747
4377,1538000,1744
4662,1540000,1744
4947,1543000,1747
5232,1540000,1747
5517,1538000,1744
5803,1540000,1745
6088,1543000,1747
6373,1538000,1745
6658,1540000,1744
6943,1543000,1749
7228,1539000,1747
7514,1538000,1744
7799,1538000,1744
8084,1539000,1746
8369,1538000,1743
8654,1537000,1741
8939,1538000,1744
9224,1536000,1744
9509,1537000,1743
9794,1536000,1743
10087,1538000,1744
10373,1534000,1739
10658,1534000,1738
10943,1538000,1743
11228,1534000,1742
11513,1532000,1734
11799,1536000,1741
12084,1537000,1741
12370,1529000,1734
12665,1530000,1735
12950,1538000,1742
13235,1533000,1738
13524,1529000,1734
13809,1534000,1735
14094,1536000,1742
14379,1531000,1736
14664,1528000,1734
14949,1532000,1737
15235,1532000,1735
15520,1528000,1733
15805,1534000,1739
16090,1536000,1741
16375,1531000,1737
16661,1530000,1734
16946,1533000,1739
17231,1531000,1737
17517,1528000,1734
17802,1536000,1739
18089,1535000,1742
18374,1531000,1734
18659,1532000,1739
18944,1538000,1742
19233,1535000,1742
19518,1532000,1738
19803,1537000,1744
20089,1538000,1744
20374,1535000,1741
20659,1536000,1740
20944,1539000,1746
21229,1538000,1745
21514,1536000,1743
21801,1540000,1744
22086,1540000,1747
22372,1538000,1744
22666,1538000,1744
22952,1542000,1750
23238,1540000,1747
23523,1536000,1744
23849,1543000,1749
24147,1540000,1750
24432,1538000,1744
24717,1540000,1747
25002,1542000,1752
25287,1539000,1745
25572,1540000,1744
25858,1543000,1751
26143,1542000,1749
26428,1538000,1744
26714,1538000,1745
27000,1542000,1750
27285,1538000,1747
27571,1537000,1744
27856,1539000,1746
28141,1538000,1746
28431,1536000,1741
28716,1538000,1743
29002,1540000,1747
29287,1538000,1743
29572,1530000,1738
29857,1537000,1742
30142,1536000,1744
30427,1532000,1739
30712,1536000,1739
30997,1536000,1742
31282,1533000,1739
31568,1533000,1738
31853,1536000,1739
32138,1536000,1739
32424,1530000,1738
32719,1534000,1740
33004,1537000,1743
33289,1536000,1741
33574,1533000,1737
33859,1538000,1743
34145,1536000,1744
34430,1530000,1737
34715,1535000,1739
35000,1538000,1744
35302,1533000,1742
35664,1536000,1737
36010,1538000,1731
36374,1534000,1740
36731,1538000,1741
37095,1538000,1744
37448,1537000,1743
37757,1538000,1743
38046,1540000,1746
38373,1538000,1742
38733,1538000,1744
39088,1538000,1745
39419,1537000,1743
39715,1538000,1743
40000,1540000,1747
40286,1537000,1744
40571,1538000,1743
40856,1540000,1745
41142,1539000,1745
41427,1537000,1744
41712,1538000,1744
41997,1540000,1746
42283,1538000,1744
42568,1537000,1743
42862,1538000,1745
43147,1538000,1745
43433,1534000,1741
43718,1537000,1743
44003,1538000,1744
44288,1534000,1742
44594,1535000,1741
44936,1540000,1747
45270,1540000,1745
45561,1536000,1743
45852,1540000,1744
46142,1538000,1745
46433,1536000,1742
46723,1538000,1743
47014,1538000,1746
47304,1536000,1743
47599,1534000,1740
47890,1538000,1744
48181,1535000,1742
48471,1534000,1735
48762,1534000,1740
49053,1538000,1742
49343,1534000,1738
49634,1533000,1735
49924,1538000,1744
50215,1536000,1739
50505,1531000,1733
50796,1535000,1739
51087,1538000,1744
51377,1531000,1737
51668,1537000,1741
51958,1538000,1744
52250,1534000,1740
52541,1531000,1737
52839,1537000,1741
53130,1536000,1743
53420,1530000,1738
53711,1533000,1737
54001,1538000,1744
54292,1533000,1739
54583,1532000,1734
54874,1537000,1744
55165,1536000,1741
55456,1531000,1737
55746,1536000,1741
56037,1537000,1744
56328,1534000,1741
56620,1536000,1739
56915,1538000,1744
57207,1536000,1744
57498,1536000,1738
57788,1536000,1739
58079,1537000,1744
58370,1532000,1740
58660,1536000,1738
58951,1538000,1744
59242,1536000,1743
59532,1534000,1741
59823,1538000,1744
60114,1538000,1744
60405,1536000,1743
60695,1538000,1742
60986,1540000,1746
61277,1538000,1745
61568,1539000,1744
61858,1540000,1745
62149,1538000,1745
62440,1536000,1743
62743,1538000,1744
63033,1539000,1747
63324,1538000,1744
63615,1537000,1744
63905,1541000,1746
64196,1539000,1746
64487,1537000,1743
64777,1540000,1745
65068,1540000,1748
65359,1538000,1744
65649,1538000,1742
65940,1543000,1746
66234,1538000,1744
66525,1538000,1743
66816,1539000,1745
67107,1538000,1747
67398,1537000,1744
67688,1540000,1744
67979,1543000,1748
68269,1538000,1745
68560,1538000,1744
68851,1541000,1749
69143,1540000,1746
69433,1538000,1744
69724,1540000,1744
70014,1542000,1747
70328,1538000,1744
70619,1538000,1744
70910,1542000,1750
71201,1540000,1749
71491,1538000,1745
71782,1542000,1747
72073,1544000,1752
72364,1540000,1748
72663,1539000,1744
72954,1544000,1749
73244,1540000,1747
73535,1539000,1744
73826,1540000,1747
74116,1540000,1748
74407,1537000,1744
74697,1539000,1744
74988,1542000,1749
75282,1538000,1745
75576,1538000,1744
75867,1541000,1747
76158,1540000,1748
76448,1538000,1743
76739,1540000,1747
77029,1542000,1749
77321,1538000,1744
77612,1538000,1743
77902,1541000,1747
78193,1538000,1746
78484,1537000,1743
78774,1539000,1744
79065,1539000,1748
79356,1538000,1744
79646,1539000,1744
79937,1543000,1751
80227,1539000,1747
80518,1537000,1744
80809,1540000,1747
81099,1540000,1747
81390,1538000,1744
81680,1538000,1744
81971,1541000,1749
82262,1539000,1744
82553,1538000,1744
82852,1543000,1749
83143,1540000,1747
83433,1538000,1745
83724,1540000,1744
84015,1542000,1747
84305,1538000,1744
84595,1538000,1744
84890,1543000,1747
85181,1540000,1747
85472,1538000,1744
85762,1538000,1745
86053,1540000,1748
86343,1538000,1744
86634,1538000,1744
86925,1540000,1747
87215,1538000,1744
87509,1536000,1742
87800,1538000,1745
88090,1539000,1745
88381,1538000,1743
88672,1537000,1744
88963,1540000,1746
89253,1538000,1744
89544,1536000,1743
89835,1539000,1744
90125,1538000,1744
90415,1534000,1740
90706,1536000,1742
90997,1538000,1744
91287,1533000,1742
91578,1531000,1738
91868,1536000,1742
92159,1536000,1743
92450,1530000,1734
92751,1533000,1735
93041,1536000,1743
93332,1531000,1739
93623,1531000,1734
93913,1537000,1741
94208,1534000,1741
94499,1529000,1734
94789,1534000,1739
95080,1534000,1739
95371,1528000,1734
95661,1532000,1735
95952,1536000,1743
96243,1532000,1735
96533,1529000,1732
96824,1536000,1740
97115,1536000,1741
97405,1532000,1736
97696,1533000,1735
97987,1536000,1741
98277,1534000,1739
98568,1533000,1737
98859,1536000,1744
99153,1538000,1743
99443,1534000,1739
99734,1538000,1743
100024,1538000,1744
100315,1537000,1744
100605,1537000,1741
100896,1538000,1747
101187,1538000,1746
101477,1537000,1743
101768,1538000,1745
102058,1540000,1749
102349,1537000,1744
102649,1538000,1744
102940,1543000,1746
103230,1540000,1745
103525,1538000,1744
103815,1540000,1745
104106,1540000,1750
104397,1538000,1745
104688,1538000,1744
104978,1540000,1747
105269,1538000,1744
105560,1538000,1744
105850,1540000,1747
106141,1538000,1745
106431,1536000,1741
106722,1539000,1744
107013,1539000,1745
107303,1538000,1744
107593,1537000,1743
107884,1538000,1745
108174,1538000,1745
108465,1536000,1741
108756,1536000,1744
109046,1538000,1745
109337,1536000,1742
109627,1534000,1739
109918,1538000,1743
110208,1536000,1744
110499,1533000,1737
110789,1536000,1742
111080,1537000,1744
111374,1532000,1739
111664,1533000,1737
111955,1537000,1743
112248,1533000,1742
112539,1531000,1735
112843,1535000,1742
113134,1535000,1741
113424,1530000,1738
113715,1535000,1737
114006,1535000,1741
114296,1534000,1740
114587,1531000,1738
114877,1538000,1742
115168,1537000,1743
115458,1532000,1735
115749,1535000,1740
116039,1538000,1742
116330,1534000,1741
116620,1537000,1739
116911,1539000,1744
117201,1538000,1744
117492,1534000,1739
117783,1537000,1742
118073,1538000,1746
118364,1537000,1743
118655,1538000,1743
118945,1540000,1746
119236,1540000,1746
119527,1538000,1744
119817,1540000,1746
120108,1540000,1747
120398,1538000,1745
120697,1539000,1746
120988,1543000,1751
121278,1543000,1750
121569,1538000,1745
121859,1544000,1751
122154,1542000,1751
122446,1539000,1746
122747,1542000,1751
123037,1545000,1755
123328,1539000,1748
123618,1538000,1747
123909,1542000,1750
124200,1539000,1749
124490,1536000,1744
124781,1540000,1744
125071,1540000,1748
125362,1538000,1744
125653,1538000,1744
125943,1539000,1750
126268,1532000,1741
126622,1533000,1741
126985,1536000,1741
127330,1530000,1734
127661,1530000,1733
127949,1534000,1739
128234,1531000,1737
128519,1528000,1730
128804,1533000,1732
129089,1531000,1734
129374,1526000,1730
129658,1528000,1730
129943,1532000,1739
130228,1531000,1735
130514,1526000,1731
130799,1531000,1735
131084,1531000,1737
131369,1528000,1733
131658,1528000,1731
131943,1533000,1738
132228,1533000,1739
132513,1529000,1730
132808,1534000,1735
133093,1533000,1743
133378,1529000,1731
133663,1532000,1735
133948,1538000,1742
134233,1533000,1739
134518,1531000,1734
134803,1536000,1740
135088,1538000,1743
135373,1534000,1741
135658,1536000,1743
135943,1538000,1745
136228,1538000,1744
136513,1536000,1743
136798,1539000,1744
137083,1538000,1747
137368,1538000,1744
137653,1537000,1734
138019,1538000,1746
138374,1539000,1747
138708,1543000,1749
139067,1546000,1751
139438,1538000,1734
139794,1543000,1747
140085,1542000,1750
140375,1538000,1745
140666,1539000,1746
140956,1543000,1749
141251,1538000,1747
141542,1538000,1744
141832,1541000,1746
142123,1540000,1747
142414,1537000,1744
142714,1538000,1744
143005,1540000,1749
143296,1538000,1744
143586,1537000,1743
143877,1539000,1744
144167,1538000,1744
144458,1536000,1743
144753,1538000,1744
145043,1539000,1745
145334,1536000,1742
145624,1534000,1739
145915,1537000,1744
146206,1533000,1742
146496,1530000,1738
146787,1535000,1742
147077,1538000,1743
147368,1530000,1737
147658,1534000,1739
147949,1538000,1742
148239,1536000,1741
148530,1531000,1734
148820,1536000,1738
149111,1537000,1743
149402,1531000,1735
149692,1534000,1738
149983,1538000,1744
150273,1534000,1741
150568,1533000,1739
150859,1537000,1741
151150,1538000,1742
151440,1533000,1738
151731,1534000,1742
152021,1538000,1744
152312,1536000,1742
152612,1536000,1739
