timestamp,uV,digital
613,1524000,1731
1854,1533000,1734
2188,1536000,1742
2509,1519000,1728
2894,1535000,1739
3258,1524000,1741
3609,1525000,1725
3977,1538000,1743
4341,1526000,1734
4693,1522000,1729
5057,1534000,1739
5399,1525000,1728
5757,1525000,1726
6109,1534000,1744
6471,1520000,1725
6820,1526000,1728
7124,1538000,1744
7409,1528000,1730
7695,1524000,1725
8018,1538000,1744
8382,1528000,1731
8668,1524000,1723
8953,1533000,1741
9269,1533000,1734
9555,1524000,1727
9875,1534000,1733
10160,1539000,1745
10445,1525000,1734
10730,1524000,1727
11015,1538000,1744
11309,1534000,1744
11594,1524000,1727
11879,1535000,1737
12164,1540000,1747
12450,1529000,1735
12735,1529000,1730
13028,1542000,1747
13314,1538000,1745
13600,1530000,1733
13885,1539000,1743
14170,1544000,1753
14459,1536000,1744
14744,1536000,1737
15030,1547000,1749
15315,1539000,1750
15600,1534000,1734
15885,1540000,1744
16170,1544000,1754
16455,1533000,1743
16740,1533000,1735
17025,1543000,1749
17310,1538000,1748
17596,1529000,1733
17881,1538000,1743
18166,1542000,1751
18452,1530000,1741
18737,1530000,1734
19023,1543000,1747
19308,1538000,1745
19593,1528000,1730
19878,1536000,1739
20163,1539000,1746
20453,1528000,1737
20738,1527000,1730
21023,1538000,1744
21308,1534000,1744
21593,1526000,1728
21878,1536000,1739
22163,1540000,1747
22450,1528000,1735
22736,1530000,1729
23029,1540000,1745
23314,1536000,1742
23599,1524000,1728
23884,1536000,1737
24170,1539000,1746
24455,1528000,1734
24740,1529000,1729
25025,1539000,1744
25310,1536000,1743
25595,1524000,1728
25880,1533000,1739
26165,1539000,1744
26451,1527000,1735
26736,1527000,1729
27022,1539000,1744
27307,1537000,1744
27593,1526000,1731
27879,1538000,1741
28165,1543000,1751
28450,1531000,1737
28735,1529000,1732
29021,1542000,1745
29306,1538000,1744
29596,1527000,1729
29881,1538000,1741
30166,1542000,1749
30451,1532000,1741
30736,1531000,1737
31021,1543000,1749
31306,1538000,1745
31591,1529000,1734
31877,1539000,1744
32162,1547000,1753
32448,1535000,1743
32733,1533000,1737
33027,1544000,1751
33312,1538000,1747
33598,1529000,1735
33883,1538000,1744
34168,1544000,1751
34453,1533000,1741
34738,1533000,1734
35023,1544000,1749
35308,1538000,1745
35593,1530000,1731
35879,1538000,1742
36164,1544000,1752
36449,1533000,1741
36734,1532000,1735
37019,1547000,1749
37304,1540000,1747
37589,1531000,1737
37874,1539000,1743
38159,1544000,1754
38445,1532000,1744
38734,1534000,1739
39019,1543000,1750
39304,1538000,1747
39589,1531000,1735
39874,1538000,1744
40159,1547000,1754
40445,1536000,1744
40730,1536000,1735
41015,1543000,1751
41300,1540000,1751
41585,1532000,1735
41870,1538000,1744
42155,1544000,1754
42441,1536000,1744
42726,1533000,1736
43020,1547000,1751
43305,1542000,1749
43590,1530000,1739
43875,1538000,1744
44160,1546000,1757
44446,1536000,1744
44731,1534000,1738
45017,1546000,1753
45301,1540000,1750
45587,1533000,1737
45872,1540000,1744
46157,1547000,1757
46442,1538000,1744
46727,1537000,1739
47012,1548000,1755
47297,1543000,1754
47582,1534000,1739
47871,1543000,1747
48156,1549000,1759
48441,1538000,1744
48726,1536000,1741
49011,1548000,1754
49296,1536000,1749
49628,1534000,1735
49915,1541000,1745
50200,1546000,1754
50485,1532000,1739
50770,1534000,1735
51056,1544000,1750
51341,1537000,1744
51626,1527000,1733
51911,1538000,1744
52196,1538000,1751
52489,1529000,1735
52780,1528000,1732
53065,1540000,1747
53351,1535000,1739
53636,1524000,1727
53921,1536000,1738
54206,1537000,1744
54491,1524000,1728
54776,1525000,1728
55062,1538000,1744
55347,1529000,1739
55632,1523000,1722
55917,1534000,1733
