timestamp,uV,digital
4332,1051000,1890
5936,1281000,916
6265,1325000,1341
6550,1087000,1578
6835,1251000,1880
7120,1910000,2416
7405,2227000,2433
7691,1713000,1584
7976,1245000,896
8261,1307000,1348
8546,1103000,1632
8831,1293000,1919
9116,1936000,2413
9401,2161000,2575
9714,1825000,1802
9999,1501000,1117
10284,1461000,1360
10569,1051000,1355
10854,1051000,1673
11161,1222000,1617
11516,1051000,1382
11865,915000,1488
12175,1359000,1970
12470,1730000,2523
12780,1508000,2077
13094,2050000,2320
13379,2174000,2203
13665,1531000,1343
13950,975000,795
14235,1217000,1465
14528,1214000,1887
14816,1439000,2030
15101,2019000,2363
15386,2197000,2268
15672,1585000,1403
15957,1040000,799
16243,1225000,1408
16527,1209000,1879
16812,1465000,2043
17097,2029000,2333
17383,2177000,2226
17668,1545000,1360
17953,995000,787
18238,1215000,1434
18523,1247000,1947
18808,1512000,2069
19093,2045000,2299
19378,2154000,2175
19663,1504000,1314
19947,939000,779
20232,1202000,1471
20517,1293000,2022
20802,1560000,2096
21087,2055000,2249
21372,2130000,2121
21658,1538000,1347
21952,980000,775
22237,1205000,1431
22522,1247000,1953
22807,1512000,2070
23092,2047000,2292
23377,2153000,2162
23666,1530000,1335
23951,967000,775
24236,1205000,1449
24521,1260000,1975
24806,1528000,2082
25091,2053000,2287
25376,2148000,2155
25661,1488000,1296
25946,923000,779
26231,1203000,1487
26516,1308000,2054
26801,1576000,2103
27086,2066000,2240
27371,2127000,2101
27655,1452000,1261
27940,884000,792
28225,1205000,1542
28510,1370000,2130
28795,1625000,2127
29080,2075000,2182
29365,2098000,2035
29649,1409000,1223
29934,849000,814
30219,1210000,1595
30504,1433000,2205
30789,1666000,2139
31074,2074000,2128
31360,2074000,1989
31645,1448000,1259
31942,900000,790
32227,1207000,1527
32512,1356000,2115
32800,1581000,2111
33086,2070000,2247
33371,2133000,2112
33656,1456000,1264
33941,895000,793
34226,1206000,1533
34511,1359000,2121
34796,1617000,2126
35081,2075000,2201
35366,2106000,2059
35652,1427000,1235
35937,864000,802
36221,1206000,1573
36506,1410000,2179
36791,1652000,2135
37076,2076000,2159
37361,2082000,2003
37646,1387000,1210
37931,836000,830
38216,1220000,1631
38501,1470000,2245
38786,1692000,2150
39071,2072000,2099
39356,2050000,1951
39641,1344000,1187
39925,818000,866
40210,1236000,1692
40495,1537000,2318
40780,1730000,2155
41065,2062000,2023
41350,2023000,1904
41636,1398000,1223
41935,871000,826
42220,1223000,1604
42505,1436000,2208
42790,1672000,2154
43075,2084000,2153
43361,2090000,2017
43646,1397000,1226
43931,849000,850
44216,1235000,1654
44501,1492000,2271
44785,1708000,2160
45070,2078000,2097
45355,2057000,1958
45640,1355000,1200
45925,826000,882
46210,1249000,1711
46496,1547000,2331
46781,1741000,2160
47066,2068000,2038
47350,2023000,1902
47636,1317000,1177
47920,808000,913
48205,1262000,1761
48490,1607000,2383
48775,1769000,2157
49060,2050000,1963
49345,1978000,1841
49630,1276000,1159
49915,829000,896
50233,1315000,1350
50547,1103000,1625
50832,1285000,1914
51121,1902000,2413
51406,2227000,2441
51691,1748000,1646
51984,1320000,952
52269,1345000,1340
52554,1077000,1534
52838,1218000,1849
53123,1883000,2407
53408,2219000,2448
53693,1719000,1595
53978,1252000,896
54263,1308000,1334
54548,1090000,1600
54833,1269000,1897
55118,1914000,2399
55403,2215000,2405
55688,1686000,1543
55973,1198000,855
56259,1280000,1339
56544,1104000,1649
56828,1306000,1922
57114,1937000,2386
57399,2209000,2367
57684,1658000,1494
57969,1153000,832
58254,1256000,1347
58539,1128000,1715
58824,1350000,1961
59109,1974000,2383
59394,2207000,2322
59679,1623000,1446
59964,1095000,810
60253,1256000,1359
60538,1140000,1744
60823,1371000,1983
61108,1988000,2390
61394,2215000,2329
61679,1845000,2082
62063,1955000,2409
62415,1793000,2518
62780,1265000,1900
63141,1278000,1825
63503,1044000,1453
63865,771000,1087
64208,1290000,1346
64566,1183000,1120
64924,1031000,791
65245,1329000,1338
65557,1063000,1489
65842,1187000,1827
66127,1869000,2421
66412,2228000,2482
66697,1743000,1627
66982,1292000,917
67266,1328000,1333
67551,1077000,1562
67836,1239000,1872
68121,1906000,2423
68407,2230000,2448
68692,1714000,1583
68977,1239000,880
69262,1300000,1337
69547,1091000,1616
69832,1282000,1910
70121,1906000,2417
70406,2210000,2495
70713,1805000,2127
71080,2026000,2366
71390,2224000,2319
71680,1737000,1584
71981,1337000,925
72272,1395000,1331
72562,1037000,1408
72853,1027000,1682
73143,1679000,2352
73434,2110000,2599
73725,1857000,1902
74015,1726000,1328
74306,1668000,1467
74596,1093000,1147
74887,795000,1253
75177,1389000,2060
75468,1816000,2546
75758,1829000,2114
76048,2018000,1811
76339,1956000,1776
76629,1284000,1136
76920,798000,893
77210,1223000,1686
77500,1436000,2254
77792,1625000,2146
78082,2081000,2246
78373,2170000,2157
78664,1556000,1341
78954,1051000,791
79245,1252000,1395
79540,1108000,1703
79830,1258000,1921
80121,1882000,2431
80412,2221000,2497
80702,1803000,1703
80993,1486000,1062
81283,1487000,1363
81574,1063000,1298
81874,866000,1427
82164,1498000,2197
82455,1950000,2607
82745,1862000,2062
