timestamp,uV,digital
647,1447000,1677
1915,1615000,1799
2253,1600000,1850
2544,1447000,1650
2836,1518000,1677
3127,1641000,1875
3417,1501000,1734
3708,1445000,1615
3998,1628000,1826
4289,1578000,1829
4580,1436000,1636
4870,1572000,1727
5213,1581000,1830
5598,1433000,1616
5955,1629000,1834
6324,1524000,1768
6692,1461000,1619
7057,1638000,1865
7401,1482000,1711
7755,1489000,1647
8118,1620000,1867
8480,1441000,1663
8840,1550000,1719
9183,1606000,1851
9531,1433000,1631
9884,1556000,1717
10171,1615000,1857
10496,1462000,1677
10784,1475000,1638
11070,1640000,1856
11363,1531000,1774
11649,1431000,1614
11934,1589000,1762
12219,1615000,1857
12504,1460000,1669
12789,1480000,1639
13074,1641000,1861
13360,1536000,1776
13644,1430000,1611
13930,1588000,1759
14215,1615000,1859
14500,1461000,1679
14785,1476000,1639
15070,1641000,1861
15363,1534000,1776
15648,1432000,1614
15933,1592000,1767
16218,1617000,1866
16503,1462000,1675
16788,1484000,1644
17073,1643000,1872
17358,1538000,1779
17643,1432000,1615
17928,1589000,1763
18213,1619000,1868
18498,1464000,1680
18783,1477000,1639
19068,1642000,1867
19353,1539000,1785
19639,1432000,1615
19924,1587000,1759
20209,1622000,1867
20498,1461000,1679
20783,1477000,1637
21068,1643000,1863
21353,1539000,1783
21637,1427000,1614
21922,1581000,1751
22207,1618000,1867
22492,1464000,1679
22777,1472000,1627
23062,1639000,1856
23347,1542000,1783
23632,1428000,1611
23917,1579000,1747
24202,1621000,1862
24487,1463000,1680
24772,1467000,1628
25058,1639000,1857
25343,1536000,1777
25637,1427000,1611
25923,1581000,1751
26207,1616000,1862
26492,1461000,1675
26777,1470000,1629
27063,1637000,1856
27348,1538000,1779
27633,1426000,1607
27920,1579000,1745
28205,1617000,1862
28490,1461000,1677
28775,1468000,1625
29060,1636000,1855
29345,1539000,1781
29634,1427000,1612
29919,1579000,1748
30204,1617000,1862
30489,1462000,1678
30774,1470000,1629
31059,1640000,1856
31344,1540000,1786
31630,1427000,1611
31915,1576000,1744
32200,1617000,1862
32485,1465000,1680
32770,1466000,1626
33055,1638000,1854
33340,1543000,1785
33625,1426000,1614
33910,1572000,1741
34195,1619000,1863
34480,1470000,1682
34765,1464000,1627
35051,1637000,1854
35335,1542000,1785
35629,1430000,1616
35914,1577000,1744
36199,1623000,1867
36484,1467000,1683
36769,1472000,1629
37054,1639000,1855
37339,1550000,1793
37624,1433000,1617
37908,1574000,1744
38193,1624000,1869
38478,1473000,1690
38767,1470000,1631
39052,1641000,1856
39338,1549000,1795
39623,1435000,1616
39908,1576000,1744
40193,1626000,1870
40478,1474000,1691
40763,1470000,1633
41048,1640000,1857
41333,1552000,1802
41618,1435000,1618
41903,1569000,1738
42188,1628000,1869
42473,1476000,1695
42758,1464000,1630
43043,1640000,1851
43328,1556000,1806
43613,1436000,1622
43898,1564000,1731
44183,1628000,1871
44468,1478000,1698
44753,1461000,1623
45038,1637000,1846
45323,1561000,1805
45613,1436000,1623
45899,1565000,1733
46184,1629000,1871
46469,1477000,1697
46755,1461000,1625
47040,1638000,1850
47325,1562000,1805
47610,1434000,1623
47900,1566000,1731
48185,1629000,1871
48470,1476000,1697
48774,1502000,1662
49103,1641000,1871
49388,1520000,1757
49673,1436000,1615
49958,1603000,1789
50243,1604000,1847
50528,1453000,1664
50813,1496000,1655
51098,1641000,1867
51384,1524000,1762
51669,1435000,1610
51954,1603000,1787
52239,1609000,1855
52524,1456000,1664
52809,1494000,1652
53095,1641000,1870
53379,1525000,1764
53665,1436000,1612
53950,1601000,1781
54235,1610000,1855
54520,1456000,1667
54805,1491000,1650
55090,1641000,1870
55383,1525000,1761
55668,1436000,1615
55953,1602000,1783
56238,1608000,1854
56523,1456000,1665
56808,1495000,1654
57097,1641000,1872
57382,1525000,1763
57689,1444000,1614
57990,1623000,1818
58275,1589000,1840
58560,1441000,1645
58845,1524000,1681
59130,1640000,1872
59415,1504000,1734
59700,1438000,1612
59985,1617000,1813
60271,1555000,1803
60633,1436000,1607
60983,1633000,1840
61338,1520000,1750
61692,1460000,1618
62057,1641000,1867
62415,1477000,1703
62765,1501000,1651
63126,1625000,1871
63491,1452000,1663
63819,1504000,1659
64109,1641000,1869
64394,1512000,1746
64679,1434000,1607
64965,1606000,1792
65250,1592000,1840
65545,1443000,1648
65830,1507000,1663
66114,1638000,1870
66400,1507000,1740
66685,1432000,1600
66974,1611000,1797
67260,1590000,1839
67545,1438000,1645
67830,1504000,1662
68115,1639000,1867
68400,1505000,1739
68685,1432000,1601
68986,1619000,1838
69328,1530000,1776
69651,1433000,1614
69941,1601000,1777
70232,1608000,1856
70523,1450000,1661
70813,1504000,1659
71104,1642000,1873
71394,1512000,1750
71685,1438000,1611
71975,1621000,1811
72266,1591000,1842
72557,1443000,1648
72847,1531000,1686
73138,1641000,1876
73428,1494000,1725
73719,1449000,1616
74010,1633000,1840
74301,1574000,1825
74591,1436000,1629
74882,1562000,1722
75173,1632000,1877
75473,1476000,1695
75764,1473000,1633
76054,1643000,1866
76349,1543000,1791
76640,1436000,1619
76931,1597000,1774
77221,1617000,1865
77512,1460000,1671
77802,1498000,1654
78092,1649000,1873
78383,1521000,1761
78674,1438000,1616
78964,1618000,1807
79255,1601000,1853
79545,1448000,1651
79837,1524000,1681
80127,1644000,1878
80418,1504000,1735
80709,1448000,1618
80999,1633000,1835
81290,1581000,1833
81581,1440000,1638
81872,1555000,1717
82163,1640000,1879
82454,1487000,1711
82744,1461000,1627
83055,1646000,1867
83352,1540000,1787
83642,1436000,1616
83933,1597000,1775
84223,1615000,1863
84514,1457000,1670
84804,1499000,1657
85095,1645000,1872
85393,1515000,1751
85687,1437000,1614
85978,1622000,1811
86269,1589000,1841
86559,1438000,1642
86850,1532000,1687
87141,1640000,1873
87432,1492000,1719
87724,1448000,1615
88015,1632000,1838
88305,1568000,1817
88596,1434000,1623
88886,1562000,1723
89177,1628000,1872
89468,1474000,1693
89758,1467000,1627
90049,1641000,1857
90340,1547000,1794
90630,1430000,1616
90921,1589000,1758
91211,1617000,1865
91503,1460000,1674
91794,1487000,1646
92084,1643000,1871
92375,1524000,1765
92666,1436000,1611
92957,1610000,1792
93248,1600000,1850
93538,1445000,1650
93829,1515000,1670
94120,1641000,1873
94410,1505000,1739
94700,1440000,1614
94996,1625000,1826
95286,1577000,1827
95585,1436000,1633
95876,1551000,1711
96167,1636000,1874
96458,1482000,1705
96750,1461000,1626
97041,1641000,1855
97332,1552000,1804
97622,1433000,1619
97913,1581000,1749
98204,1624000,1869
98494,1465000,1680
