timestamp,uV,digital
4276,1627000,1886
6142,1412000,1597
6475,1582000,1744
6760,1627000,1873
7045,1458000,1675
7330,1454000,1606
7615,1648000,1866
7901,1541000,1790
8187,1410000,1595
8472,1577000,1735
8757,1628000,1873
9042,1453000,1670
9327,1445000,1599
9612,1643000,1861
9897,1541000,1791
10182,1410000,1589
10467,1575000,1732
10753,1628000,1874
11038,1454000,1675
11324,1446000,1599
11610,1645000,1870
11909,1530000,1777
12194,1409000,1586
12479,1582000,1744
12764,1624000,1871
13049,1449000,1665
13334,1452000,1602
13619,1646000,1869
13904,1536000,1784
14189,1410000,1591
14482,1589000,1751
14770,1620000,1872
15055,1446000,1661
15340,1460000,1610
15626,1653000,1874
15912,1532000,1776
16197,1410000,1590
16482,1590000,1755
16767,1625000,1872
17052,1448000,1664
17337,1457000,1610
17622,1653000,1874
17907,1537000,1785
18192,1410000,1591
18477,1589000,1754
18762,1629000,1877
19047,1454000,1671
19333,1456000,1610
19618,1654000,1873
19903,1541000,1792
20188,1412000,1595
20473,1585000,1745
20758,1630000,1879
21043,1459000,1677
21328,1457000,1608
21613,1654000,1876
21907,1539000,1790
22192,1412000,1595
22477,1589000,1753
22762,1632000,1880
23047,1456000,1671
23332,1458000,1610
23621,1654000,1877
23906,1538000,1787
24191,1412000,1591
24476,1589000,1751
24761,1630000,1883
25046,1455000,1674
25332,1460000,1611
25617,1654000,1876
25902,1543000,1791
26187,1413000,1595
26472,1585000,1746
26757,1632000,1878
27042,1458000,1677
27327,1456000,1611
27612,1655000,1873
27897,1545000,1798
28182,1414000,1599
28467,1581000,1741
28752,1633000,1883
29037,1461000,1680
29322,1452000,1609
29607,1653000,1871
29892,1550000,1797
30177,1414000,1601
30462,1575000,1739
30747,1637000,1885
31032,1465000,1686
31318,1450000,1605
31603,1651000,1872
31899,1544000,1795
32184,1416000,1600
32469,1585000,1745
32758,1633000,1883
33044,1461000,1679
33329,1459000,1613
33614,1654000,1874
33899,1547000,1798
34184,1420000,1600
34469,1589000,1747
34754,1640000,1887
35039,1464000,1685
35324,1460000,1616
35610,1658000,1878
35895,1553000,1803
36180,1422000,1609
36465,1582000,1745
36750,1641000,1888
37035,1470000,1691
37320,1458000,1616
37605,1656000,1874
37890,1559000,1808
38175,1423000,1611
38460,1578000,1739
38745,1641000,1888
39031,1472000,1694
39316,1453000,1615
39601,1653000,1872
39886,1563000,1809
40171,1422000,1611
40456,1572000,1730
40741,1641000,1889
41026,1473000,1694
41312,1448000,1609
41597,1651000,1869
41896,1549000,1802
42182,1418000,1603
42467,1579000,1743
42752,1637000,1885
43037,1462000,1683
43322,1450000,1605
43608,1649000,1868
43893,1550000,1798
44178,1412000,1600
44463,1573000,1728
44748,1633000,1879
45033,1454000,1679
45349,1492000,1639
45666,1648000,1879
45951,1508000,1744
46236,1412000,1584
46521,1613000,1792
46806,1598000,1849
47091,1430000,1635
47377,1484000,1631
47662,1642000,1872
47946,1507000,1744
48231,1407000,1579
48517,1605000,1782
48801,1600000,1847
49086,1427000,1634
49371,1476000,1619
49656,1642000,1872
49942,1508000,1743
50227,1407000,1579
50513,1603000,1778
50798,1601000,1853
51087,1428000,1635
51372,1478000,1623
51663,1641000,1872
51949,1502000,1740
52234,1409000,1575
52519,1607000,1789
52804,1598000,1847
53089,1431000,1634
53374,1484000,1631
53659,1646000,1877
53944,1510000,1746
54229,1411000,1584
54514,1611000,1789
54799,1609000,1856
55084,1436000,1645
55370,1486000,1631
55678,1640000,1884
56017,1471000,1693
56303,1438000,1599
56588,1646000,1859
56873,1526000,1775
57230,1431000,1596
57587,1656000,1886
57946,1487000,1724
58304,1487000,1633
58669,1652000,1899
59023,1447000,1664
59383,1546000,1697
59710,1655000,1899
59995,1492000,1719
60280,1438000,1602
60565,1646000,1853
60854,1585000,1840
61139,1427000,1623
61425,1546000,1699
61719,1653000,1899
62004,1486000,1712
62289,1438000,1600
62575,1648000,1858
62860,1578000,1834
63145,1424000,1618
63430,1548000,1703
63715,1651000,1893
64000,1485000,1712
64285,1436000,1597
64586,1659000,1885
64933,1501000,1739
65263,1428000,1599
65553,1644000,1843
65844,1585000,1840
66134,1424000,1618
66425,1547000,1695
66715,1643000,1891
67006,1476000,1702
67296,1436000,1599
67587,1649000,1859
67878,1556000,1808
68168,1413000,1600
68459,1574000,1729
68750,1629000,1879
69041,1453000,1674
69331,1457000,1605
69622,1652000,1873
69912,1528000,1776
70207,1410000,1584
70497,1605000,1776
70789,1613000,1861
71079,1436000,1645
71371,1487000,1632
71671,1649000,1886
71962,1497000,1731
72252,1417000,1584
72543,1629000,1824
72834,1587000,1840
73124,1420000,1616
73415,1532000,1680
73706,1649000,1893
73996,1482000,1712
74287,1435000,1595
74577,1648000,1856
74868,1565000,1819
75158,1420000,1610
75449,1571000,1723
75739,1641000,1890
76029,1466000,1687
76320,1457000,1611
76611,1657000,1879
76901,1543000,1795
77192,1417000,1600
77482,1601000,1766
77774,1627000,1879
78064,1451000,1665
78355,1487000,1631
78646,1661000,1891
78936,1523000,1767
79227,1422000,1595
79522,1628000,1811
79813,1603000,1860
80103,1433000,1638
80394,1517000,1665
80684,1657000,1895
80975,1497000,1733
81266,1428000,1595
81557,1648000,1851
81858,1573000,1828
82149,1418000,1613
82439,1560000,1711
82730,1641000,1890
83020,1468000,1693
83311,1446000,1602
83601,1652000,1870
83892,1545000,1795
84183,1412000,1597
84473,1589000,1748
84764,1625000,1875
85055,1448000,1663
85346,1465000,1616
85636,1653000,1879
85927,1521000,1766
86218,1414000,1587
86509,1615000,1789
86799,1607000,1861
