timestamp,uV,digital
518,1576000,1749
1763,1530000,1759
2097,1476000,1664
2392,1578000,1774
2683,1576000,1808
2973,1482000,1686
3264,1528000,1709
3554,1601000,1824
3845,1515000,1742
4135,1487000,1670
4427,1589000,1792
4717,1564000,1799
5008,1480000,1679
5298,1542000,1726
5589,1599000,1825
5880,1508000,1727
6171,1492000,1678
6461,1598000,1808
6752,1555000,1790
7043,1479000,1676
7333,1563000,1744
7624,1595000,1825
7914,1499000,1712
8205,1508000,1684
8496,1603000,1817
8811,1515000,1739
9189,1520000,1698
9557,1597000,1825
9907,1487000,1693
10274,1556000,1741
10655,1565000,1803
11006,1478000,1663
11379,1589000,1785
11738,1536000,1766
12096,1481000,1663
12460,1595000,1811
12820,1502000,1723
13177,1503000,1680
13531,1593000,1813
13891,1485000,1697
14215,1502000,1680
14500,1592000,1807
14789,1534000,1762
15074,1472000,1663
15359,1561000,1746
15644,1582000,1810
15930,1487000,1697
16215,1502000,1680
16500,1597000,1809
16785,1537000,1764
17070,1472000,1659
17355,1561000,1745
17640,1585000,1809
17926,1488000,1696
18211,1504000,1680
18496,1596000,1810
18782,1538000,1767
19067,1472000,1664
19364,1566000,1754
19649,1584000,1813
19934,1488000,1697
20219,1508000,1685
20508,1598000,1815
20793,1535000,1763
21078,1474000,1666
21363,1565000,1759
21648,1588000,1814
21933,1489000,1699
22218,1509000,1683
22503,1600000,1815
22789,1537000,1767
23075,1474000,1664
23360,1564000,1755
23645,1586000,1813
23930,1488000,1697
24215,1504000,1681
24501,1599000,1811
24786,1538000,1767
25071,1472000,1663
25356,1564000,1747
25641,1587000,1814
25926,1488000,1699
26211,1504000,1681
26496,1598000,1809
26781,1538000,1769
27067,1473000,1665
27352,1564000,1747
27637,1589000,1817
27923,1488000,1701
28209,1502000,1680
28494,1598000,1811
28781,1539000,1766
29066,1472000,1664
29361,1565000,1753
29650,1585000,1813
29935,1487000,1696
30220,1507000,1683
30505,1597000,1814
30790,1537000,1766
31075,1474000,1664
31360,1564000,1755
31646,1585000,1813
31931,1489000,1698
32216,1504000,1681
32501,1600000,1813
32786,1538000,1767
33071,1472000,1664
33356,1565000,1750
33641,1589000,1813
33927,1489000,1699
34211,1502000,1680
34496,1595000,1808
34782,1538000,1767
35067,1472000,1664
35352,1562000,1746
35637,1582000,1813
35922,1488000,1701
36207,1500000,1678
36491,1594000,1808
36777,1538000,1769
37061,1470000,1662
37347,1558000,1744
37632,1585000,1813
37917,1489000,1699
38202,1497000,1675
38487,1598000,1805
38780,1538000,1767
39065,1469000,1659
39360,1564000,1747
39645,1585000,1810
39930,1487000,1695
40215,1504000,1680
40500,1595000,1809
40786,1536000,1765
41071,1470000,1660
41356,1564000,1747
41641,1581000,1808
41927,1487000,1695
42212,1502000,1678
42497,1597000,1807
42782,1538000,1765
43067,1472000,1662
43352,1564000,1746
43637,1588000,1813
43922,1491000,1702
44207,1502000,1680
44492,1597000,1809
44778,1538000,1771
45063,1472000,1663
45348,1562000,1745
45633,1589000,1815
45918,1491000,1706
46203,1500000,1678
46488,1595000,1808
46781,1531000,1759
47084,1474000,1663
47369,1564000,1751
47654,1580000,1809
47943,1485000,1690
48228,1510000,1684
48513,1597000,1811
48799,1530000,1759
49084,1470000,1659
49378,1569000,1759
49663,1579000,1807
49948,1487000,1683
50267,1540000,1721
50594,1590000,1815
50879,1501000,1719
51164,1486000,1666
51449,1589000,1792
51734,1558000,1787
52019,1473000,1669
52304,1538000,1719
52589,1590000,1815
52874,1504000,1719
53159,1486000,1666
53444,1589000,1791
53729,1556000,1789
54014,1473000,1670
54300,1538000,1719
54585,1594000,1815
54869,1508000,1723
55155,1487000,1665
55440,1589000,1791
55726,1561000,1791
56011,1475000,1675
56296,1538000,1717
56581,1595000,1822
56867,1511000,1728
57156,1487000,1667
57443,1589000,1795
57728,1561000,1791
58013,1474000,1673
58298,1538000,1719
58583,1595000,1823
58868,1508000,1727
59163,1487000,1666
59449,1589000,1793
59734,1560000,1787
60018,1474000,1669
60304,1539000,1723
60588,1592000,1819
60873,1507000,1727
61159,1487000,1669
61444,1589000,1792
61729,1559000,1792
62042,1474000,1663
62402,1592000,1794
62759,1529000,1758
63116,1494000,1671
63484,1600000,1815
63840,1502000,1715
64191,1517000,1696
64553,1591000,1815
64915,1482000,1691
65258,1536000,1712
65578,1597000,1821
65863,1508000,1730
66148,1482000,1665
66433,1588000,1787
