timestamp,uV,digital
412,1564000,1773
1653,1508000,1713
1987,1524000,1713
2277,1565000,1776
2568,1529000,1744
2858,1507000,1701
3149,1554000,1753
3440,1552000,1770
3731,1504000,1712
4021,1530000,1723
4312,1565000,1778
4602,1525000,1738
4893,1512000,1707
5184,1563000,1763
5475,1550000,1766
5766,1508000,1711
6056,1537000,1731
6347,1565000,1781
6638,1520000,1729
6928,1516000,1711
7219,1564000,1774
7509,1540000,1758
7800,1505000,1708
8105,1564000,1758
8497,1537000,1747
8863,1512000,1710
9211,1568000,1780
9579,1523000,1734
9944,1528000,1725
10305,1564000,1778
10681,1507000,1712
11043,1543000,1731
11407,1547000,1761
11776,1495000,1700
12135,1553000,1759
12482,1537000,1759
12826,1500000,1700
13168,1564000,1769
13533,1536000,1751
13830,1502000,1698
14118,1547000,1744
14408,1555000,1770
14695,1503000,1705
15021,1525000,1717
15306,1564000,1776
15591,1523000,1733
15877,1507000,1698
16162,1552000,1749
16447,1550000,1765
16732,1504000,1707
17017,1525000,1718
17302,1564000,1776
17586,1524000,1737
17871,1504000,1697
18157,1552000,1749
18451,1546000,1762
18736,1501000,1703
19021,1526000,1717
19306,1564000,1775
19591,1524000,1734
19876,1503000,1697
20161,1552000,1749
20450,1547000,1763
20735,1501000,1707
21020,1524000,1717
21305,1564000,1775
21590,1524000,1734
21875,1504000,1697
22160,1552000,1751
22445,1547000,1765
22730,1501000,1707
23015,1525000,1718
23300,1564000,1776
23585,1524000,1739
23870,1508000,1700
24155,1555000,1756
24440,1552000,1769
24725,1506000,1710
25010,1528000,1720
25295,1568000,1776
25580,1528000,1744
25865,1507000,1703
26149,1556000,1756
26434,1557000,1774
26719,1510000,1713
27004,1528000,1723
27289,1569000,1776
27574,1531000,1744
27859,1512000,1706
28145,1559000,1758
28439,1560000,1776
28724,1512000,1714
29009,1532000,1728
29294,1572000,1780
29583,1533000,1744
29870,1511000,1707
30155,1559000,1759
30440,1555000,1776
30724,1508000,1713
31009,1529000,1723
31294,1566000,1781
31579,1533000,1744
31864,1508000,1701
32149,1554000,1751
32434,1556000,1771
32719,1508000,1712
33004,1525000,1718
33289,1565000,1776
33574,1528000,1742
33860,1504000,1699
34145,1552000,1750
34430,1553000,1773
34715,1505000,1710
35000,1522000,1715
35285,1564000,1776
35570,1526000,1741
35855,1500000,1695
36140,1548000,1745
36425,1550000,1767
36710,1505000,1710
36995,1521000,1712
37280,1564000,1774
37565,1524000,1741
37850,1500000,1695
38136,1544000,1744
38426,1549000,1766
38715,1500000,1703
39000,1520000,1712
39285,1562000,1767
39570,1520000,1734
39855,1497000,1693
40140,1546000,1744
40425,1548000,1765
40710,1500000,1709
40995,1516000,1712
41280,1562000,1771
41565,1525000,1738
41850,1498000,1694
42135,1547000,1743
42420,1550000,1766
42705,1503000,1710
42990,1518000,1712
43275,1564000,1773
43560,1528000,1741
43846,1500000,1695
44130,1552000,1745
44445,1543000,1759
44768,1501000,1701
45053,1536000,1727
45338,1564000,1777
45623,1518000,1729
45908,1512000,1703
46193,1560000,1765
46478,1546000,1763
46763,1502000,1706
47048,1537000,1730
47343,1562000,1775
47686,1512000,1717
47976,1524000,1715
48261,1569000,1779
48557,1536000,1749
48842,1508000,1705
49127,1552000,1751
49412,1560000,1777
49697,1512000,1719
49982,1525000,1721
50268,1568000,1777
50553,1538000,1750
50838,1508000,1706
51123,1552000,1750
51408,1561000,1776
51693,1512000,1719
51978,1524000,1714
52263,1566000,1777
52548,1537000,1750
52833,1504000,1701
53118,1549000,1746
53403,1561000,1776
53688,1513000,1717
53973,1524000,1717
54258,1568000,1776
54543,1538000,1750
54828,1507000,1705
55113,1550000,1749
55398,1563000,1776
55683,1512000,1721
55968,1518000,1712
56253,1566000,1776
56538,1538000,1750
56823,1503000,1703
57112,1547000,1744
57421,1547000,1764
57777,1504000,1697
58139,1562000,1759
58512,1528000,1743
58879,1512000,1707
59239,1563000,1771
59528,1536000,1747
59813,1502000,1699
60098,1540000,1740
60383,1560000,1775
60668,1512000,1719
60953,1515000,1711
61238,1564000,1774
61523,1538000,1751
61808,1501000,1697
62093,1540000,1737
62378,1560000,1776
62663,1512000,1722
62948,1516000,1710
63233,1564000,1769
63518,1536000,1751
63803,1500000,1696
64088,1538000,1733
64374,1556000,1773
64659,1512000,1718
64956,1524000,1718
65318,1560000,1775
65672,1504000,1710
66010,1524000,1715
66295,1563000,1775
66581,1524000,1737
66870,1487000,1697
67155,1552000,1751
67441,1550000,1767
67726,1504000,1709
68012,1525000,1718
68297,1564000,1775
68588,1524000,1731
68883,1508000,1699
69168,1553000,1755
69453,1550000,1766
69738,1505000,1706
70023,1528000,1723
70308,1564000,1776
70592,1524000,1739
70878,1504000,1699
71163,1559000,1761
71518,1540000,1757
71803,1502000,1702
72088,1540000,1739
72373,1564000,1778
72658,1514000,1723
72943,1515000,1711
73228,1564000,1773
73513,1540000,1757
73798,1504000,1703
74083,1540000,1739
74368,1564000,1778
74653,1512000,1717
74981,1523000,1714
75266,1569000,1778
75551,1536000,1748
75836,1504000,1705
76137,1553000,1751
76422,1556000,1776
76744,1512000,1711
77106,1556000,1756
77410,1564000,1786
77701,1515000,1723
77992,1531000,1727
78282,1575000,1790
78583,1535000,1750
78873,1516000,1712
79164,1565000,1767
79454,1560000,1777
79745,1512000,1717
80035,1539000,1739
80326,1574000,1791
80616,1527000,1743
80907,1517000,1713
81198,1569000,1776
81488,1551000,1767
81779,1510000,1712
82069,1544000,1739
82360,1568000,1786
82651,1520000,1729
82941,1517000,1714
83232,1569000,1776
83523,1540000,1761
83813,1508000,1710
84104,1550000,1746
84394,1564000,1781
84685,1513000,1722
84976,1524000,1717
85266,1569000,1778
85561,1534000,1745
85852,1509000,1705
86142,1554000,1751
86432,1556000,1776
86723,1508000,1712
87014,1530000,1723
87304,1567000,1779
87595,1524000,1739
87886,1507000,1705
88176,1561000,1760
88477,1545000,1762
88767,1502000,1706
89058,1536000,1729
89349,1564000,1777
89639,1514000,1725
89930,1512000,1706
90220,1561000,1767
90511,1538000,1753
90801,1500000,1698
91092,1540000,1737
91383,1559000,1776
91673,1510000,1714
91964,1516000,1707
92254,1564000,1771
92545,1531000,1744
92835,1502000,1698
93126,1547000,1744
93417,1554000,1771
93707,1507000,1711
93998,1525000,1714
94288,1565000,1776
94579,1526000,1743
94874,1504000,1700
95164,1555000,1755
95455,1549000,1767
95746,1504000,1709
96036,1536000,1728
96327,1564000,1782
96618,1522000,1732
96908,1512000,1706
97199,1564000,1770
97489,1546000,1766
97780,1507000,1709
98071,1542000,1739
98362,1565000,1780
104892,1525000,1725
105277,1573000,1785
105568,1537000,1751
105858,1512000,1710
106149,1562000,1762
106439,1559000,1777
106731,1512000,1717
107022,1538000,1731
107313,1572000,1786
107603,1529000,1745
107894,1514000,1712
108185,1568000,1771
108485,1552000,1771
108776,1511000,1712
109066,1546000,1743
109357,1569000,1787
109648,1524000,1735
109939,1524000,1718
110229,1572000,1779
110525,1543000,1760
110815,1512000,1711
111106,1553000,1751
111396,1565000,1785
111687,1512000,1725
111978,1528000,1723
112268,1572000,1783
112559,1538000,1754
112850,1512000,1709
113141,1560000,1759
113431,1560000,1777
113725,1512000,1717
114016,1536000,1729
114306,1572000,1788
114597,1531000,1744
114888,1514000,1712
115178,1564000,1769
115469,1553000,1771
115759,1512000,1712
116050,1539000,1738
116340,1569000,1787
