timestamp,uV,digital
613,1563000,1745
1862,1528000,1750
2192,1498000,1691
2487,1561000,1758
2777,1560000,1778
3068,1487000,1696
3425,1565000,1762
3812,1538000,1759
4164,1502000,1698
4530,1576000,1793
4897,1518000,1739
5260,1512000,1695
5610,1569000,1788
5972,1505000,1712
6313,1521000,1712
6665,1563000,1782
7027,1490000,1694
7389,1541000,1733
7737,1562000,1778
8022,1501000,1710
8307,1512000,1698
8593,1569000,1779
8878,1533000,1749
9163,1492000,1685
9449,1546000,1741
9748,1543000,1773
10106,1492000,1686
10438,1544000,1741
10743,1562000,1781
11030,1501000,1710
11323,1516000,1710
11608,1573000,1785
11893,1531000,1749
12178,1495000,1690
12463,1555000,1749
12748,1565000,1787
13033,1507000,1712
13319,1521000,1709
13612,1576000,1788
13897,1534000,1750
14182,1500000,1694
14467,1560000,1754
14753,1565000,1785
15038,1505000,1712
15323,1523000,1711
15608,1577000,1787
15894,1536000,1754
16179,1500000,1694
16464,1556000,1753
16749,1565000,1786
17039,1504000,1712
17324,1523000,1712
17609,1577000,1790
17894,1536000,1755
18179,1499000,1694
18464,1556000,1749
18749,1564000,1787
19035,1505000,1712
19320,1518000,1711
19605,1577000,1788
19890,1536000,1755
20175,1496000,1691
20464,1556000,1750
20750,1565000,1787
21035,1504000,1711
21320,1516000,1711
21606,1576000,1787
21891,1534000,1751
22176,1496000,1687
22461,1551000,1746
22746,1564000,1787
23031,1503000,1711
23316,1521000,1705
23610,1576000,1787
23895,1529000,1747
24180,1494000,1685
24465,1553000,1746
24750,1563000,1783
25036,1500000,1708
25322,1515000,1705
25607,1573000,1783
25892,1530000,1745
26177,1492000,1686
26462,1551000,1744
26748,1563000,1782
27033,1503000,1707
27318,1514000,1705
27603,1575000,1783
27888,1534000,1751
28173,1496000,1686
28458,1552000,1747
28743,1564000,1784
29028,1504000,1712
29313,1516000,1709
29602,1577000,1788
29888,1536000,1751
30174,1497000,1691
30460,1556000,1751
30745,1566000,1788
31031,1507000,1712
31316,1520000,1712
31601,1578000,1789
31886,1537000,1755
32172,1496000,1693
