timestamp,uV,digital
4124,1352000,1611
5409,1685000,1914
5744,1538000,1827
6034,1342000,1546
6325,1619000,1778
6615,1703000,2000
6906,1451000,1655
7198,1450000,1552
7489,1704000,1922
7779,1498000,1765
8070,1334000,1504
8361,1649000,1827
8651,1660000,1968
8942,1420000,1645
9232,1508000,1607
9523,1733000,1936
9814,1480000,1714
10105,1348000,1494
10395,1668000,1869
10686,1615000,1918
10977,1384000,1615
11268,1559000,1679
11558,1744000,1973
11849,1472000,1680
12140,1379000,1497
12430,1680000,1904
12721,1573000,1867
13011,1356000,1571
13302,1598000,1744
13592,1729000,2000
13891,1461000,1661
14182,1428000,1531
14476,1693000,1920
14766,1512000,1791
15057,1334000,1518
15358,1649000,1829
15649,1665000,1978
15940,1425000,1648
16230,1505000,1603
16521,1734000,1936
16812,1476000,1715
17103,1342000,1488
17393,1667000,1868
17684,1617000,1926
17974,1384000,1617
18265,1553000,1669
18555,1745000,1969
18846,1466000,1674
19136,1362000,1488
19427,1677000,1899
19718,1569000,1870
20008,1349000,1569
20298,1589000,1734
20589,1729000,1999
20879,1458000,1651
21170,1408000,1509
21461,1684000,1912
21751,1520000,1808
22042,1328000,1518
22332,1622000,1785
22623,1692000,1998
22913,1436000,1648
23208,1461000,1558
23499,1709000,1919
23789,1483000,1740
24080,1329000,1487
24370,1656000,1839
24661,1641000,1953
24953,1402000,1629
25243,1535000,1641
25542,1743000,1953
25833,1461000,1680
26123,1348000,1479
26414,1672000,1885
26704,1581000,1881
26995,1355000,1584
27286,1576000,1712
27576,1738000,1987
27867,1460000,1653
28157,1389000,1495
28448,1678000,1906
28738,1538000,1831
29029,1334000,1535
29319,1615000,1775
29610,1710000,2001
29901,1449000,1648
30191,1440000,1535
30482,1697000,1917
30772,1498000,1771
31063,1332000,1503
31354,1645000,1822
31644,1665000,1973
31937,1422000,1645
32228,1500000,1600
32523,1731000,1936
32813,1473000,1709
33104,1344000,1488
33395,1667000,1865
33685,1614000,1917
33976,1383000,1614
34266,1556000,1673
34557,1741000,1968
34847,1468000,1679
35139,1386000,1502
35439,1680000,1905
35731,1555000,1847
36021,1348000,1557
36312,1609000,1760
36602,1715000,1999
36893,1460000,1659
37183,1433000,1535
37474,1694000,1921
37764,1514000,1793
38055,1339000,1520
38345,1641000,1810
38636,1677000,1985
38926,1436000,1651
39217,1486000,1586
39508,1720000,1935
39798,1487000,1738
40089,1344000,1501
40379,1666000,1854
40670,1638000,1942
40960,1400000,1629
41251,1538000,1648
41542,1741000,1957
41836,1472000,1689
42127,1364000,1495
42417,1679000,1895
42708,1589000,1884
42999,1366000,1587
43289,1585000,1725
43581,1737000,1993
43871,1460000,1663
44206,1524000,1626
44556,1714000,1997
44904,1409000,1635
45247,1584000,1729
45586,1730000,1987
45871,1464000,1664
46156,1385000,1502
46441,1677000,1904
46726,1566000,1857
47011,1355000,1569
47296,1582000,1726
47581,1732000,1986
47866,1465000,1663
48151,1382000,1497
48436,1675000,1902
48720,1573000,1865
49005,1359000,1575
49290,1573000,1712
49576,1733000,1981
49861,1464000,1667
50146,1371000,1494
50431,1670000,1893
50717,1578000,1872
51002,1361000,1581
51291,1571000,1712
51576,1732000,1982
51861,1461000,1667
52146,1369000,1491
52432,1672000,1895
52717,1577000,1868
53002,1358000,1577
53287,1568000,1705
53572,1732000,1975
53857,1462000,1664
54142,1364000,1491
54427,1667000,1888
54712,1564000,1861
55018,1331000,1519
