timestamp,uV,digital
3979,1511000,1714
5260,1560000,1763
5608,1537000,1751
5898,1512000,1711
6189,1544000,1744
6479,1552000,1766
6770,1513000,1719
7062,1525000,1718
7353,1560000,1770
7644,1532000,1744
7935,1512000,1711
8225,1549000,1749
8516,1548000,1764
8807,1512000,1717
9097,1532000,1726
9388,1561000,1773
9679,1525000,1742
9969,1516000,1712
10260,1556000,1759
10551,1548000,1765
10843,1512000,1714
11133,1538000,1737
11427,1562000,1776
11718,1524000,1735
12008,1522000,1718
12300,1562000,1765
12591,1540000,1757
12882,1512000,1714
13173,1548000,1747
13486,1555000,1773
13785,1517000,1725
14076,1532000,1727
14366,1564000,1776
14657,1531000,1744
14948,1515000,1712
15239,1556000,1757
15530,1549000,1765
15830,1514000,1719
16121,1538000,1735
16411,1564000,1776
16702,1528000,1741
16992,1524000,1718
17283,1562000,1767
17573,1545000,1762
17864,1513000,1715
18155,1542000,1744
18445,1561000,1775
18736,1525000,1733
19026,1525000,1721
19317,1564000,1771
19607,1540000,1759
19898,1513000,1712
20189,1549000,1746
20479,1556000,1776
20770,1518000,1728
21061,1531000,1728
21351,1564000,1775
21642,1536000,1745
21932,1516000,1715
22223,1553000,1754
22513,1552000,1767
22805,1514000,1722
23101,1536000,1731
23393,1563000,1775
23683,1529000,1742
23974,1518000,1718
24265,1559000,1762
24556,1546000,1763
24846,1513000,1718
25138,1540000,1741
25429,1560000,1774
25730,1523000,1731
26020,1524000,1718
26311,1563000,1770
26602,1538000,1754
26892,1513000,1713
27183,1548000,1746
27473,1556000,1773
27764,1517000,1724
28055,1528000,1726
28345,1562000,1773
28637,1536000,1746
28927,1514000,1712
29218,1551000,1750
29508,1550000,1766
29799,1514000,1718
30089,1532000,1728
30380,1560000,1773
30672,1528000,1739
30962,1516000,1712
31253,1553000,1755
31544,1545000,1759
31834,1511000,1713
32125,1534000,1729
32420,1556000,1769
32711,1521000,1730
33001,1516000,1712
33292,1556000,1759
33582,1538000,1753
33873,1510000,1712
34164,1538000,1738
34454,1554000,1769
34745,1516000,1726
35036,1521000,1717
35328,1559000,1766
35628,1532000,1745
35920,1512000,1709
36210,1546000,1745
36501,1549000,1763
36792,1512000,1719
37082,1526000,1725
37374,1556000,1767
37665,1525000,1739
37956,1512000,1711
38247,1550000,1750
38538,1542000,1758
38829,1511000,1711
39119,1534000,1728
39410,1555000,1767
39701,1523000,1731
39991,1516000,1712
40282,1556000,1759
40573,1540000,1754
40864,1512000,1711
41155,1539000,1738
41447,1552000,1767
41742,1516000,1726
42032,1523000,1715
42323,1559000,1766
42613,1537000,1746
42904,1512000,1710
43195,1546000,1744
43486,1553000,1769
43777,1514000,1723
44068,1528000,1725
44358,1561000,1772
44649,1533000,1744
44940,1513000,1712
45231,1555000,1755
45523,1550000,1766
45822,1513000,1718
46113,1535000,1731
46403,1561000,1776
46694,1527000,1741
46985,1521000,1715
47276,1560000,1765
47567,1547000,1766
47857,1515000,1715
48148,1543000,1741
48439,1562000,1776
48730,1524000,1737
49021,1525000,1721
49311,1564000,1771
49602,1540000,1758
49892,1516000,1713
50183,1546000,1746
50474,1558000,1774
50764,1518000,1730
51059,1530000,1727
51350,1564000,1774
51640,1537000,1749
51931,1515000,1713
52222,1553000,1754
52512,1552000,1770
52803,1516000,1723
53094,1536000,1733
53385,1565000,1778
53675,1531000,1745
53966,1520000,1716
54256,1564000,1763
54547,1550000,1767
54838,1514000,1719
55129,1540000,1743
55421,1564000,1776
55722,1525000,1738
56013,1524000,1719
56303,1564000,1769
56598,1544000,1759
56889,1515000,1715
57179,1548000,1745
57470,1556000,1774
57761,1517000,1727
58052,1526000,1722
58342,1562000,1771
58645,1524000,1737
59008,1524000,1717
59367,1553000,1764
59715,1514000,1723
60036,1518000,1715
60321,1556000,1762
60610,1537000,1747
60896,1510000,1710
61181,1541000,1740
61467,1551000,1766
61752,1513000,1724
62037,1518000,1714
62322,1555000,1763
62607,1534000,1744
62893,1508000,1707
63177,1539000,1735
63463,1552000,1766
63747,1515000,1723
64033,1521000,1713
64318,1556000,1760
64603,1535000,1747
64888,1510000,1707
65175,1538000,1735
65460,1550000,1764
65754,1515000,1723
66039,1523000,1717
66324,1556000,1763
66610,1536000,1747
66895,1510000,1710
67180,1540000,1744
67465,1554000,1770
67750,1516000,1726
68035,1524000,1715
68320,1560000,1765
68605,1538000,1748
68890,1510000,1710
69176,1540000,1740
69461,1553000,1770
69750,1517000,1726
70036,1524000,1722
70348,1562000,1772
70707,1520000,1729
71049,1538000,1733
71410,1560000,1779
71777,1516000,1723
72117,1540000,1740
72408,1564000,1776
72699,1530000,1743
72990,1524000,1722
73280,1564000,1770
73571,1547000,1767
73862,1516000,1719
74152,1547000,1746
74443,1564000,1778
74734,1525000,1737
75024,1529000,1727
75316,1568000,1776
75616,1542000,1758
75906,1518000,1719
76197,1555000,1755
76488,1562000,1778
76778,1523000,1730
77069,1536000,1731
77359,1566000,1778
77650,1538000,1751
77941,1521000,1715
78231,1558000,1760
78522,1555000,1775
78814,1516000,1723
79104,1538000,1737
79399,1564000,1777
79690,1529000,1744
79980,1524000,1719
80271,1563000,1764
80562,1547000,1762
80853,1513000,1717
81143,1538000,1740
81434,1561000,1776
81724,1524000,1733
82015,1525000,1718
82305,1560000,1765
82596,1539000,1757
82886,1512000,1713
83177,1544000,1744
83467,1553000,1768
83758,1515000,1726
84048,1525000,1719
84339,1561000,1768
84629,1533000,1746
84920,1513000,1712
85212,1548000,1748
85502,1548000,1765
85803,1512000,1718
86093,1532000,1727
86384,1561000,1772
86674,1526000,1739
86965,1515000,1712
87256,1553000,1755
87546,1544000,1759
87837,1512000,1713
88127,1537000,1730
88418,1560000,1771
88713,1521000,1731
89003,1520000,1714
89294,1558000,1764
89585,1538000,1754
89875,1512000,1712
90166,1540000,1738
90456,1556000,1771
90747,1517000,1728
91037,1524000,1718
91328,1562000,1769
91619,1538000,1750
91909,1512000,1712
92200,1548000,1746
92490,1552000,1771
92781,1515000,1725
93072,1531000,1726
93362,1563000,1774
93653,1534000,1744
93943,1515000,1712
94234,1555000,1755
94524,1552000,1767
94815,1515000,1721
95106,1536000,1731
95397,1563000,1776
95698,1528000,1742
95989,1523000,1719
96279,1564000,1766
96570,1548000,1764
96861,1517000,1719
97151,1546000,1744
97441,1563000,1777
97732,1525000,1735
98026,1527000,1725
98317,1565000,1775
98608,1540000,1758
98899,1516000,1717
99190,1552000,1751
99481,1560000,1777
99771,1522000,1731
100063,1534000,1729
100354,1566000,1777
100646,1538000,1754
100937,1520000,1719
101227,1556000,1760
101518,1553000,1774
101808,1518000,1726
102099,1538000,1734
102390,1564000,1776
102680,1534000,1744
102971,1520000,1717
103261,1559000,1762
103552,1549000,1765
103842,1517000,1718
104133,1540000,1739
104424,1563000,1776
104714,1526000,1735
105005,1524000,1714
105312,1564000,1773
105612,1538000,1755
105903,1517000,1715
106197,1552000,1753
106487,1556000,1774
106778,1520000,1728
107068,1532000,1728
107363,1564000,1776
107654,1534000,1746
107944,1517000,1714
108235,1555000,1759
108525,1553000,1769
108816,1517000,1723
109107,1538000,1735
109397,1564000,1777
109688,1530000,1743
109978,1518000,1715
110269,1561000,1761
110559,1546000,1766
110850,1513000,1717
111141,1540000,1738
111431,1561000,1776
111722,1525000,1734
112013,1523000,1717
112303,1562000,1766
112595,1540000,1755
112886,1513000,1712
113176,1550000,1748
113492,1553000,1771
113783,1515000,1725
114073,1528000,1725
114364,1563000,1772
114655,1533000,1744
114945,1515000,1712
115236,1553000,1754
115527,1548000,1764
115826,1512000,1717
116117,1537000,1731
116408,1560000,1771
116702,1524000,1736
116993,1517000,1713
117283,1559000,1762
117574,1540000,1759
117864,1512000,1712
118155,1539000,1739
118446,1559000,1772
118737,1518000,1729
119027,1523000,1716
119318,1560000,1763
119608,1536000,1746
119899,1512000,1710
120189,1542000,1744
120480,1552000,1767
120771,1514000,1721
121061,1525000,1721
121352,1561000,1770
121642,1530000,1743
121933,1513000,1710
122224,1550000,1750
122514,1549000,1765
122804,1514000,1718
123095,1531000,1728
123386,1560000,1773
123676,1529000,1742
123967,1517000,1712
124258,1556000,1759
124548,1544000,1761
124839,1512000,1716
125130,1538000,1739
125421,1561000,1776
125722,1524000,1733
126016,1523000,1719
126307,1564000,1771
126598,1539000,1757
126888,1514000,1713
127179,1548000,1746
127469,1561000,1776
127760,1521000,1729
128050,1530000,1728
128341,1565000,1775
128631,1538000,1755
128922,1514000,1715
129213,1552000,1754
129503,1555000,1773
129794,1516000,1727
130084,1536000,1731
130375,1565000,1777
130665,1534000,1747
130956,1520000,1715
131247,1560000,1761
131537,1552000,1770
131828,1516000,1721
132119,1539000,1738
132409,1564000,1777
132700,1527000,1744
132991,1524000,1719
133281,1564000,1771
133572,1548000,1766
133862,1516000,1717
134153,1545000,1744
134443,1564000,1777
134734,1524000,1734
135025,1527000,1722
135320,1564000,1776
135619,1539000,1754
135910,1516000,1716
136201,1552000,1753
136491,1558000,1777
136782,1520000,1727
137073,1534000,1728
137363,1565000,1776
137654,1536000,1750
137944,1520000,1715
138235,1558000,1758
138525,1553000,1771
138816,1516000,1724
139106,1537000,1735
139397,1564000,1776
139688,1531000,1744
139979,1524000,1721
140269,1563000,1766
140560,1550000,1770
140851,1517000,1719
141141,1544000,1744
141432,1565000,1778
141722,1528000,1741
142013,1528000,1725
142304,1565000,1773
142594,1544000,1761
142885,1517000,1718
143176,1552000,1751
143466,1564000,1777
143757,1524000,1735
144047,1531000,1729
144338,1569000,1778
144632,1540000,1756
144923,1518000,1717
145216,1556000,1759
145507,1556000,1775
145807,1517000,1725
146097,1538000,1733
146388,1565000,1776
146678,1533000,1744
146969,1522000,1718
147260,1561000,1763
147550,1549000,1766
147841,1516000,1718
148131,1543000,1738
148422,1564000,1777
148712,1526000,1737
149003,1524000,1722
149294,1564000,1771
149584,1547000,1761
149878,1514000,1713
150169,1547000,1744
150459,1562000,1776
150750,1523000,1732
151041,1528000,1725
151331,1564000,1774
151622,1540000,1755
151913,1516000,1716
152203,1552000,1751
152494,1560000,1773
152785,1521000,1728
153075,1535000,1729
153366,1566000,1778
153657,1538000,1749
153951,1520000,1717
154242,1560000,1759
154532,1550000,1769
154823,1515000,1723
155114,1538000,1735
155405,1564000,1779
155705,1529000,1743
155995,1525000,1719
156286,1564000,1769
156576,1545000,1761
156867,1516000,1716
157158,1545000,1744
157448,1563000,1776
157739,1525000,1735
158029,1528000,1723
158320,1564000,1773
158611,1539000,1753
158901,1514000,1713
159192,1549000,1748
159482,1559000,1774
159773,1520000,1728
160063,1530000,1728
160354,1564000,1776
160644,1535000,1748
160935,1518000,1715
161282,1562000,1760
161622,1526000,1740
161975,1518000,1707
162316,1556000,1761
162601,1536000,1747
162886,1509000,1706
163171,1538000,1738
163460,1553000,1768
163745,1516000,1725
164030,1518000,1712
164315,1556000,1761
164600,1537000,1747
164885,1510000,1707
165171,1538000,1735
165456,1550000,1765
165749,1515000,1724
166034,1518000,1715
166319,1556000,1763
166604,1536000,1745
166889,1508000,1709
167174,1540000,1740
167459,1552000,1769
167744,1513000,1725
168029,1516000,1712
168314,1556000,1762
168599,1537000,1749
168884,1510000,1709
169169,1538000,1734
169454,1552000,1767
169739,1516000,1724
170024,1520000,1715
170309,1556000,1763
170594,1538000,1750
170879,1512000,1712
171164,1540000,1739
171449,1558000,1770
171734,1520000,1729
172019,1520000,1712
172304,1556000,1761
172593,1530000,1744
172952,1513000,1712
173301,1564000,1765
173637,1531000,1742
173995,1528000,1725
174352,1564000,1776
174694,1531000,1743
174984,1523000,1718
175276,1563000,1765
175575,1547000,1762
175865,1514000,1717
176156,1544000,1744
176447,1563000,1776
176737,1525000,1738
177028,1528000,1725
177318,1565000,1775
177609,1544000,1759
177900,1520000,1718
178190,1551000,1751
178481,1561000,1777
178771,1524000,1731
179062,1536000,1730
179352,1565000,1778
179643,1539000,1755
179933,1520000,1718
180224,1558000,1759
180514,1557000,1776
180805,1523000,1728
181095,1538000,1737
181386,1565000,1779
181676,1536000,1747
181967,1523000,1723
182262,1562000,1767
182552,1552000,1771
182843,1520000,1726
183133,1544000,1745
183424,1565000,1780
183714,1530000,1743
184005,1528000,1726
184295,1564000,1773
184586,1546000,1762
184876,1516000,1722
185167,1548000,1747
185458,1561000,1778
185755,1523000,1732
186046,1530000,1727
186337,1564000,1775
186627,1538000,1754
186917,1516000,1715
187208,1555000,1753
187499,1559000,1775
187789,1518000,1727
188080,1536000,1729
188370,1564000,1776
188661,1531000,1744
188951,1513000,1712
189242,1556000,1758
189532,1551000,1766
189823,1515000,1720
190113,1536000,1731
190404,1562000,1776
190694,1528000,1742
190985,1518000,1717
191275,1560000,1764
191570,1546000,1761
191861,1512000,1714
192152,1541000,1742
192442,1560000,1776
192733,1521000,1734
193024,1524000,1719
193314,1562000,1770
193605,1538000,1751
193895,1512000,1712
194186,1547000,1744
194476,1556000,1771
194767,1516000,1727
195058,1526000,1723
195349,1564000,1772
195646,1533000,1744
195936,1512000,1712
196227,1550000,1750
196518,1550000,1765
196808,1513000,1718
197099,1533000,1729
197390,1561000,1775
197680,1528000,1743
197970,1516000,1714
198261,1558000,1760
198552,1546000,1761
198842,1512000,1713
199133,1538000,1735
199423,1559000,1775
199714,1524000,1738
200004,1523000,1717
200295,1561000,1766
200586,1540000,1759
200880,1512000,1713
201171,1542000,1744
201461,1556000,1773
201752,1518000,1728
202043,1528000,1723
202333,1564000,1773
202623,1537000,1753
202914,1515000,1713
203205,1551000,1749
203495,1552000,1767
203786,1517000,1725
204076,1534000,1729
204367,1564000,1776
204657,1534000,1747
204948,1512000,1715
205262,1560000,1763
205566,1549000,1769
205857,1514000,1721
206147,1543000,1744
206438,1564000,1777
206729,1527000,1739
207019,1527000,1724
207310,1566000,1775
207600,1544000,1762
207891,1516000,1717
208182,1550000,1747
208472,1561000,1777
208763,1523000,1731
209054,1532000,1728
209344,1565000,1777
209635,1539000,1753
209925,1517000,1716
210220,1556000,1758
210510,1557000,1774
210801,1516000,1726
211091,1537000,1730
211382,1564000,1776
211672,1532000,1745
211963,1517000,1715
212254,1560000,1759
212544,1550000,1770
212835,1514000,1717
213125,1543000,1743
213437,1562000,1775
213727,1524000,1735
214018,1524000,1719
214308,1563000,1770
214599,1540000,1755
214890,1512000,1712
215181,1547000,1744
215472,1555000,1772
215772,1515000,1724
216062,1528000,1725
216353,1564000,1776
216643,1534000,1746
216934,1516000,1713
217225,1555000,1755
217515,1552000,1771
217806,1515000,1723
218097,1534000,1730
218387,1563000,1776
218678,1529000,1744
218968,1518000,1713
219259,1560000,1763
219554,1547000,1762
219844,1513000,1716
220135,1538000,1735
220425,1561000,1776
220716,1524000,1735
221006,1524000,1717
221297,1560000,1766
221588,1540000,1759
221878,1513000,1713
222169,1545000,1744
222459,1559000,1774
222750,1520000,1728
223040,1526000,1719
223331,1564000,1775
223621,1538000,1751
223911,1514000,1712
224202,1550000,1747
224493,1556000,1773
224783,1518000,1725
225074,1533000,1730
225365,1564000,1776
225664,1533000,1745
225955,1516000,1715
226245,1558000,1758
226536,1550000,1769
226826,1516000,1719
227117,1538000,1734
227407,1562000,1776
227698,1528000,1741
227989,1521000,1718
228279,1562000,1763
228570,1544000,1763
228864,1512000,1715
229155,1542000,1742
229445,1561000,1776
229736,1524000,1734
230026,1526000,1723
230317,1563000,1772
230607,1538000,1753
230898,1512000,1713
231189,1548000,1745
231479,1556000,1771
231769,1517000,1727
232060,1529000,1727
232351,1564000,1775
232641,1534000,1747
232932,1516000,1713
233222,1553000,1754
233513,1552000,1767
233803,1517000,1723
234094,1536000,1731
234385,1564000,1776
234675,1531000,1744
234966,1520000,1714
235257,1560000,1760
235547,1548000,1763
235846,1515000,1719
236136,1540000,1739
236427,1563000,1776
236717,1525000,1737
237008,1524000,1719
237299,1564000,1767
237589,1542000,1759
237880,1515000,1718
238174,1548000,1745
238465,1561000,1776
238755,1522000,1733
239046,1528000,1725
239336,1564000,1774
239627,1539000,1755
239918,1518000,1716
240208,1552000,1751
240499,1556000,1776
240789,1518000,1728
241080,1536000,1732
241370,1564000,1775
241661,1535000,1747
241952,1518000,1715
242242,1556000,1759
242533,1550000,1766
242823,1513000,1717
243114,1537000,1733
243405,1562000,1775
243695,1526000,1740
243986,1518000,1714
244277,1558000,1761
244567,1544000,1759
244858,1512000,1713
245149,1538000,1737
245440,1556000,1771
245738,1516000,1729
246029,1522000,1717
246319,1560000,1763
246610,1536000,1747
246901,1512000,1711
247191,1544000,1744
247486,1552000,1767
247776,1512000,1721
248067,1524000,1719
248357,1559000,1769
248648,1530000,1742
248938,1512000,1709
249229,1548000,1747
249519,1546000,1763
249810,1511000,1713
250101,1529000,1723
250391,1559000,1770
250682,1524000,1734
250973,1514000,1710
251263,1552000,1757
251554,1543000,1759
251844,1512000,1712
252135,1538000,1735
252425,1559000,1774
252716,1521000,1731
253007,1518000,1715
253297,1560000,1764
253588,1540000,1757
253878,1512000,1712
254169,1543000,1742
254460,1556000,1775
254750,1518000,1727
255041,1527000,1721
255331,1561000,1771
255631,1536000,1748
255922,1514000,1712
256212,1552000,1751
256503,1553000,1771
256797,1515000,1723
257088,1532000,1729
257378,1563000,1774
257669,1530000,1744
257959,1517000,1714
258250,1558000,1759
258541,1551000,1766
258831,1512000,1717
259122,1540000,1739
259412,1564000,1776
259703,1527000,1741
259993,1521000,1718
260284,1562000,1766
260575,1543000,1761
260865,1515000,1717
261156,1541000,1742
261447,1559000,1775
261737,1523000,1731
262028,1526000,1722
262318,1564000,1774
262609,1538000,1755
262899,1514000,1713
263190,1550000,1747
263505,1548000,1766
263853,1512000,1712
264215,1553000,1744
264552,1540000,1755
264867,1512000,1710
265152,1538000,1738
265437,1556000,1772
265729,1523000,1729
266014,1521000,1715
266303,1560000,1763
266588,1538000,1754
266873,1512000,1712
267158,1540000,1735
267442,1559000,1773
267727,1520000,1731
268012,1520000,1713
268297,1559000,1762
268582,1539000,1753
268867,1511000,1712
269152,1538000,1734
269437,1559000,1771
269722,1520000,1728
270007,1516000,1713
270292,1558000,1761
270577,1542000,1757
270862,1512000,1712
271147,1538000,1735
271432,1559000,1770
271717,1523000,1731
272002,1518000,1712
272287,1558000,1761
272572,1543000,1759
272857,1512000,1715
273142,1537000,1735
273427,1556000,1771
273712,1521000,1733
273997,1517000,1712
274282,1555000,1757
274567,1542000,1755
274852,1512000,1714
275163,1548000,1746
275530,1538000,1753
275895,1518000,1714
276240,1562000,1770
276602,1537000,1751
276951,1520000,1718
277248,1560000,1759
277539,1552000,1766
277829,1515000,1722
278120,1538000,1738
278410,1564000,1778
278701,1530000,1744
278991,1524000,1719
279282,1563000,1769
279573,1548000,1765
279863,1516000,1719
280154,1545000,1744
280444,1563000,1776
280735,1525000,1735
281025,1525000,1723
281316,1564000,1770
281607,1540000,1755
281897,1514000,1715
282187,1546000,1744
282478,1556000,1773
282769,1517000,1726
283059,1528000,1725
283349,1563000,1772
283640,1534000,1746
283931,1512000,1709
284221,1551000,1753
284512,1552000,1767
