timestamp,uV,digital
4005,1531000,1726
6269,1529000,1729
6694,1529000,1733
7053,1530000,1733
7416,1533000,1739
7774,1532000,1734
8137,1531000,1735
8481,1536000,1741
8834,1529000,1735
9191,1532000,1734
9535,1538000,1743
9820,1530000,1733
10105,1528000,1738
10390,1529000,1731
10675,1529000,1734
10979,1528000,1733
11264,1530000,1732
11549,1532000,1735
11835,1531000,1734
12120,1532000,1735
12406,1533000,1738
12691,1534000,1735
12976,1531000,1736
13261,1534000,1739
13546,1535000,1739
13831,1531000,1734
14127,1532000,1735
14412,1533000,1738
14698,1531000,1737
14983,1530000,1737
15276,1534000,1734
15564,1532000,1737
15849,1527000,1731
16135,1528000,1729
16420,1532000,1733
16705,1532000,1735
16991,1529000,1731
17276,1531000,1736
17561,1530000,1735
17846,1527000,1734
18131,1527000,1731
18416,1531000,1735
18702,1529000,1732
18987,1528000,1730
19272,1529000,1733
19557,1531000,1735
19842,1528000,1732
20127,1530000,1733
20412,1532000,1735
20697,1529000,1734
20982,1528000,1733
21267,1531000,1733
21552,1530000,1737
21857,1529000,1733
22142,1529000,1737
22427,1533000,1739
22712,1533000,1739
22998,1532000,1738
23283,1536000,1740
23568,1534000,1740
23853,1535000,1741
24147,1534000,1737
24437,1536000,1744
24722,1536000,1742
25007,1534000,1739
25292,1534000,1741
25577,1537000,1744
25862,1536000,1739
26147,1536000,1741
26432,1536000,1744
26717,1535000,1741
27002,1533000,1743
27287,1537000,1742
27572,1538000,1744
27857,1537000,1743
28142,1538000,1742
28428,1538000,1744
28713,1536000,1744
28998,1536000,1742
29283,1538000,1745
29568,1537000,1743
29853,1536000,1742
30138,1534000,1741
30423,1538000,1743
30708,1537000,1743
30993,1534000,1741
31278,1536000,1740
31563,1538000,1742
31848,1536000,1741
32133,1536000,1740
32419,1538000,1742
32706,1536000,1742
32991,1535000,1739
33276,1536000,1742
33565,1536000,1742
33851,1535000,1738
34145,1532000,1738
34430,1535000,1743
34715,1532000,1738
35000,1531000,1734
35286,1533000,1737
35571,1535000,1739
35856,1533000,1735
36141,1531000,1735
36427,1532000,1739
36712,1531000,1737
36997,1528000,1736
37282,1531000,1733
37567,1531000,1738
37852,1531000,1738
38137,1532000,1733
38422,1535000,1738
38707,1532000,1739
38992,1532000,1735
39277,1534000,1739
39562,1536000,1740
39847,1534000,1739
40132,1533000,1738
40418,1536000,1742
40703,1536000,1741
40988,1531000,1738
41273,1536000,1741
41558,1538000,1744
41843,1536000,1743
42128,1536000,1742
42413,1538000,1744
42703,1537000,1743
42988,1535000,1744
43273,1539000,1744
43558,1540000,1748
43843,1539000,1744
44138,1538000,1744
44424,1539000,1748
44708,1540000,1746
44993,1538000,1745
45279,1541000,1745
45564,1543000,1747
45867,1539000,1747
46196,1542000,1747
46481,1540000,1749
46766,1540000,1747
47051,1539000,1747
47337,1543000,1749
47622,1543000,1751
47907,1539000,1745
48192,1538000,1746
48477,1542000,1749
48762,1539000,1746
49047,1538000,1744
49332,1540000,1745
49617,1539000,1745
49902,1538000,1744
50187,1539000,1744
50472,1539000,1746
50757,1538000,1744
51043,1538000,1743
51328,1538000,1744
