NO;SOUND;UNIT;TIME
145;51.9;dBC;05-04-24/14:10:20
146;51.0;dBC;05-04-24/14:10:30
147;57.0;dBC;05-04-24/14:10:40
148;51.0;dBC;05-04-24/14:10:50
149;52.9;dBC;05-04-24/14:11:00
150;50.3;dBC;05-04-24/14:11:10
151;51.0;dBC;05-04-24/14:11:20
152;49.6;dBC;05-04-24/14:11:30
153;49.1;dBC;05-04-24/14:11:40
154;50.8;dBC;05-04-24/14:11:50
155;49.8;dBC;05-04-24/14:12:00
156;52.2;dBC;05-04-24/14:12:10
157;49.6;dBC;05-04-24/14:12:20
158;50.0;dBC;05-04-24/14:12:30
159;49.6;dBC;05-04-24/14:12:40
160;50.0;dBC;05-04-24/14:12:50
161;51.5;dBC;05-04-24/14:13:00
162;49.8;dBC;05-04-24/14:13:10
163;49.3;dBC;05-04-24/14:13:20
164;50.8;dBC;05-04-24/14:13:30
165;49.8;dBC;05-04-24/14:13:40
166;50.8;dBC;05-04-24/14:13:50
167;50.5;dBC;05-04-24/14:14:00
168;50.3;dBC;05-04-24/14:14:10
169;50.3;dBC;05-04-24/14:14:20
170;51.5;dBC;05-04-24/14:14:30
171;54.1;dBC;05-04-24/14:14:40
172;52.2;dBC;05-04-24/14:14:50
173;51.2;dBC;05-04-24/14:15:00
174;52.7;dBC;05-04-24/14:15:10
175;51.9;dBC;05-04-24/14:15:20
176;55.5;dBC;05-04-24/14:15:30
177;51.9;dBC;05-04-24/14:15:40
178;51.5;dBC;05-04-24/14:15:50
179;52.7;dBC;05-04-24/14:16:00
180;52.9;dBC;05-04-24/14:16:10
181;67.4;dBC;05-04-24/14:16:20
182;51.5;dBC;05-04-24/14:16:30
183;49.8;dBC;05-04-24/14:16:40
184;50.8;dBC;05-04-24/14:16:50
185;49.3;dBC;05-04-24/14:17:00
186;48.4;dBC;05-04-24/14:17:10
187;48.1;dBC;05-04-24/14:17:20
188;49.6;dBC;05-04-24/14:17:30
189;49.1;dBC;05-04-24/14:17:40
190;52.2;dBC;05-04-24/14:17:50
191;52.2;dBC;05-04-24/14:18:00
192;50.8;dBC;05-04-24/14:18:10
193;53.1;dBC;05-04-24/14:18:20
194;60.8;dBC;05-04-24/14:18:30
195;55.0;dBC;05-04-24/14:18:40
196;53.9;dBC;05-04-24/14:18:50
197;51.0;dBC;05-04-24/14:19:00
198;54.3;dBC;05-04-24/14:19:10
199;51.2;dBC;05-04-24/14:19:20
200;50.0;dBC;05-04-24/14:19:30
201;55.3;dBC;05-04-24/14:19:40
202;53.4;dBC;05-04-24/14:19:50
