Date/Heure;020 TC1 [°C];020 [hPa];020 [hPa];154 [°C];154 [%HR];154 [hPa];154 [ppm];154 Point de rosée [°C];154 Température humide [°C];154 Humidité absolue [g/m³];905 [°C];905 [m/s];905 [hPa];
05/04/2024 13:47:30;21,4;1002,3;0,006;21,0;55,8;1001,0;706;11,8;15,4;10,24;22,0;0,00;1001,1;
05/04/2024 13:48:30;21,3;1002,3;0,006;20,9;55,8;1001,0;713;11,8;15,3;10,18;22,1;0,00;1001,1;
05/04/2024 13:49:30;21,2;1002,3;0,006;20,9;55,8;1001,0;699;11,8;15,3;10,18;22,2;0,00;1001,2;
05/04/2024 13:50:30;21,1;1002,3;0,006;20,8;55,9;1000,9;698;11,7;15,2;10,14;22,2;0,00;1001,2;
05/04/2024 13:51:30;21,1;1002,4;0,006;20,8;56,3;1001,0;698;11,8;15,3;10,21;22,3;0,00;1001,2;
05/04/2024 13:52:30;21,1;1002,4;0,006;20,8;56,3;1001,1;699;11,8;15,3;10,21;22,3;0,00;1001,2;
05/04/2024 13:53:30;21,0;1002,4;0,006;20,8;56,2;1001,1;695;11,8;15,3;10,19;22,3;0,00;1001,3;
05/04/2024 13:54:30;21,0;1002,4;0,006;20,8;56,2;1001,2;691;11,8;15,3;10,19;22,3;0,00;1001,3;
05/04/2024 13:55:30;21,0;1002,4;0,006;20,7;56,2;1001,2;690;11,7;15,2;10,13;22,3;0,00;1001,3;
05/04/2024 13:56:30;21,0;1002,5;0,006;20,7;56,1;1001,3;683;11,6;15,2;10,12;22,3;0,00;1001,3;
05/04/2024 13:57:30;20,9;1002,4;0,006;20,7;56,5;1001,2;683;11,8;15,2;10,19;22,3;0,00;1001,3;
05/04/2024 13:58:30;20,9;1002,4;0,006;20,7;56,2;1001,2;677;11,7;15,2;10,13;22,3;0,00;1001,3;
05/04/2024 13:59:30;20,9;1002,3;0,006;20,7;56,1;1001,2;676;11,6;15,2;10,12;22,2;0,00;1001,2;
05/04/2024 14:00:30;20,8;1002,4;0,006;20,7;56,0;1001,2;668;11,6;15,1;10,10;22,2;0,00;1001,3;
05/04/2024 14:01:30;20,8;1002,4;0,006;20,7;56,1;1001,3;663;11,6;15,2;10,12;22,2;0,00;1001,3;
05/04/2024 14:02:30;20,8;1002,4;0,006;20,7;55,8;1001,3;657;11,6;15,1;10,06;22,2;0,00;1001,3;
05/04/2024 14:03:30;20,9;1002,4;0,006;20,7;55,8;1001,3;658;11,6;15,1;10,06;22,3;0,00;1001,3;
05/04/2024 14:04:30;20,9;1002,4;0,006;20,8;55,8;1001,3;651;11,7;15,2;10,12;22,3;0,00;1001,3;
05/04/2024 14:05:30;20,9;1002,5;0,006;20,8;56,0;1001,4;654;11,7;15,2;10,16;22,3;0,00;1001,4;
05/04/2024 14:06:30;20,8;1002,5;0,006;20,8;55,9;1001,4;652;11,7;15,2;10,14;22,3;0,00;1001,4;
05/04/2024 14:07:30;20,9;1002,5;0,006;20,8;56,1;1001,4;656;11,7;15,2;10,18;22,3;0,00;1001,4;
05/04/2024 14:08:30;20,9;1002,6;0,006;20,8;56,1;1001,4;657;11,7;15,2;10,18;22,3;0,00;1001,4;
05/04/2024 14:09:30;20,9;1002,6;0,006;20,8;56,2;1001,4;658;11,8;15,3;10,19;22,4;0,00;1001,5;
05/04/2024 14:10:30;20,9;1002,6;0,006;20,9;56,3;1001,4;653;11,9;15,4;10,27;22,4;0,00;1001,5;
05/04/2024 14:11:30;21,0;1002,6;0,006;20,9;56,0;1001,5;646;11,8;15,3;10,22;22,4;0,00;1001,5;
05/04/2024 14:12:30;21,0;1002,7;0,006;21,0;55,9;1001,5;646;11,9;15,4;10,26;22,4;0,00;1001,6;
05/04/2024 14:13:30;21,0;1002,6;0,006;21,0;56,4;1001,5;657;12,0;15,5;10,35;22,5;0,00;1001,5;
05/04/2024 14:14:30;21,0;1002,6;0,006;21,0;56,2;1001,4;657;12,0;15,4;10,31;22,5;0,00;1001,5;
05/04/2024 14:15:30;21,0;1002,6;0,006;21,1;55,9;1001,4;661;12,0;15,5;10,32;22,5;0,00;1001,5;
